tweet,polarity
convers nanay bbm ps nutribun proyekto,positive
major around bbm undeni red everywher cheer mabuhay,positive
gow victori bbmsara,positive
Kalye survey sa Pasig today nangununa si Senator Bongbong Marcos at Mayor Inday Sara . Haha hakot pa more mga loser . 💚❤️ #PBBM #VPSARA #UniteamBBMSARA   https://t.co/4k6UOpYBIK,positive
louder inday malaka,positive
check bonget inday bbm hope everybodi bad hate oligarch govern liber parti,positive
ikauunlad bayan disiplina bbm,positive
largest polit group repres offici endors candid ferdinand bongbong,positive
connect happi moment marikina make maintain eye contact young boy vehicl slow crawl bbm smile touch hand sincer gestur fond,positive
Sa mga naninira Kay bbm  wa effect tinawanan lang kayo #UniteamBBMSARA #BBMismypresident  #SarahDuterteIsMyVPresident #MahalinNatinAngPilipinas❤️💚👊🌹🙏  https://t.co/cS50fHALvp,positive
put bbm popemobil vehicl safe bbm support agre understand safeti import take risk know desper peopl,positive
Bakit si BBM? Oh well. He is the ONE. Period. #BBMIsMyPresident2022 #BBM #BBMSaraUNITEAM #BBMSARA2022 #BilangPilipino2022 #BBMForPresident,positive
true leader know fight fight leader choos battl wise calcul risk act impuls stupid leader throw peril avoid uniteam win,positive
Hindi ako straight pero straight ang boto ko 🤭 💟🌷  #PasigLaban #LetLeniKikoLead2022 #DiKamiBayad  https://t.co/zbCGLcWS4O,positive
philippin great bbmarco presid,positive
grabeee nakakaiyakkkk super nakakaproudctto,positive
"MAKING CONNECTIONS  A HAPPY MOMENT with #BBM in Marikina.  #BBM makes and maintains eye contact with the young boy while his vehicle slowed to a crawl. BBM smiles, then 'touches hands' with him in a sincere gesture of fondness. @bongbongmarcos @indaysara #Uniteam2022 @267marialyn  https://t.co/KiVg7r7dBh",positive
lakascmd uniteam senatori featur win win plataporma programa talagang magpapanalo buhay pilipino ibalik senado balota senat win gatchalian,positive
etivac pressur optic mahalaga maipakita suporta buka holiday cavit nagtratrabaho ncr nearbi provinc ingat enjoy buka ps patulan pinklawan peenois,positive
madami dumalo nanood ralli marikina,positive
bongbong person magpapaka baba promis,positive
bangon pilipina,positive
get vibe win,positive
BBM AT SARA LANG! WALA NANG IBA PA!  ❤️💚  #Uniteam #ProtectBBMSara,positive
@manilabulletin Kahit ano pa sabhin nyu. Lipad na ang kinang ng kandidato nyu.Bnigyan na sha ng opportunity and still walley. So be happy for tomorrow is a new beginning. #BbmSaraUniteam2022  ❤️💚,positive
Just one of the many reasons why I love this man❤ #BBM #bongbongmarcos #MyPresident    https://t.co/T3kuSbohLV,positive
smooth travel kakampwet hope enjoy tour around butuan atleast enjoy sariwang hangin trapik,positive
love littl skeptic strength abil manifest beauti shift togeth collect reflect beauti love beauti uniti,positive
true leader speak peopl listen reason time bbm speak peopl alway tune viewer alway,positive
Protect this family at all cost. @sandromarcos7  #labanmarcos  #UniteamPHarena2022  https://t.co/uUhny752su,positive
bbm consist wear philippin flag pin forget countri peopl,positive
respect respect,positive
"No filters! No frills! Straight from the mouth of the great himself. Listen, and for the love of God, PLEASE, just open your mind!   #BBM #BBMSARA2022   https://t.co/s96GMtc52G",positive
help report account tumitira masasakit salita okey nakikita relat candidato natatamaan rant rant help report utak monggo,positive
"Compare to other candidates, BBM's platform is generally yet specifically an essential for Philippines and it's sectors. A leader who promotes UNITY is promoting a successful and strong nation. #BBMSARA2022 @bongbongmarcos @indaysara #UniteamBBMSara ✌️👊🇵🇭🇵🇭🇵🇭",positive
naiiyak lagi naiiyak kaganapan uniteam victori victori mabuhay pilipina,positive
tinatawag hampaslupa maghahatid bbm tagumpay,positive
The way you campaign determine how you will govern  #BringBackMarcos 🍔,positive
bbm support enlighten support proper debat leni lugaw argument,positive
Amazing support from Marikina. #BBMSARA2022 #uniteam2022 #UniTeamBBMSara #MahalinNatinAngPilipinas  https://t.co/ouxV0MEsyi,positive
ramdam pagmamah pagmamalasakit magulang ipagpatuloy nasimulan bbm pagmamah bayansa bansa pilipino mabuhay pilipana mabuhay pilipino,positive
larri gadon know best kilala,positive
"DUN AKO SA IWINAWAGAYWAY ANG BANDERA NG PILIPINAS, HINDI ANG KULAY ROSAS. #BringBackMarcos 💚❤️🇵🇭✌️",positive
absent debat present harap libo libong uniti win,positive
good kabbmsara happi tuesday ingat,positive
""" I have my own opinions, you have yours. That's why we're individuals. Respect mine and I'll respect yours. ""  #BBMSARAtandem2022 #BBMFORPRESIDENT2022 #SaraDuterte #UniTeam2022 @bongbongmarcos  @SaraDuterte  @UNITEAM_PH  @sandromarcos7  https://t.co/Pe9kuc3Vlm",positive
fellow bbm support document famili enlighten mind toot thank,positive
Half a million na si paps habol2 pa mga talunan🤣🤣 tara mga ka uniteam paabutin natin sa 1M pra mas lalo umusok ilong ng kampon ni lutang🤣🤣✌️✌️  #BBMIsMyPresident,positive
"Dito sa town namin kahit walang poster ng BBM/SARA, SOLID parin kami✌🏻❤💚🇵🇭 #BBB22 #BBMSARA2022 #BBM #UniteamBBMSara2022 #MARCOSFORPRESIDENT",positive
"#1 sa trending, #7 sa balota vote Bongbong Marcos for president! ❤️ #BBMForPresident2022 #BBMisMyPresident #BBM #BBMSaraUNITEAM",positive
nanay pagmamahal,positive
survey bbm ramdam ramdam namen gagago kakamputangina alagad mandaray pweee,positive
evil trick time protect futur children protect bbmsara,positive
plano bayan pinangangalandakan samantalang kalaban pareparehong paninira magkaisa iisa layunin hadlangan,positive
You are WRONG. Ng dahil kay CoryKong nag hirap lalo ang PINAS.  #NeverAgain  #NeverForget  #BBMismypresident  #BBMSARA2022,positive
Kumbakit nga naman kasi natatapat lagi na need mag-commercial break eh gusto magfollow-up question ni Professor Carlos 😂😂😂😂  #SMNITheDeepProbe  #SMNIDeepProbe  #BBM  https://t.co/EvKtIVoVhO,positive
THE FAULT OF THE FATHER CANNOT BE INHERITED BY THE SON.  #UniteamBBMSARA,positive
asar talo pink amistad think rare pula,positive
leni lutang blengblong genius,positive
rememb bbm voter vote saradu voter vote camp desper deni camp afraid desper save,positive
@Doc4Dead Pati balahibo ku tumitindig sa dami ng tao. Ngayon lang ako nakakita ng ganitong karaming pagsuporta sa isang kandidato sa eleksyon.  Napakasayang makita na naninindigan ang mga tao at nagkakaisa.  #PasigLabanParaSaTRoPa  #LeniKiko2022  #LetLeni,positive
@sandromarcos7 Good luck to you and your Dad🙏❤️💚 #BBMisMyPresident,positive
"the loyalty of Nanay Clemencia is so heartwarming...kakampinks might say otherwise and will speculate thats for sure but if they know the true meaning of LOYALTY they would know better, i know we do! #loveforNanayClemencia #BBMismyPresident #UniteamBBMSARA  https://t.co/OtalJlfDxe",positive
congratul mayor inday next,positive
elect proud wear color excit sarap filipino yellow,positive
I will definitely vote for Bongbong Marcos! 👏🏽👏🏽👏🏽 #MyPresident #BBM #SMNITheDeepProbe,positive
cavit excit makisaya makibongbongsara cavit grand ralli buka magkitakita tria sport complex iparamdam laka pagmamah cavit tambalang bbmsara,positive
Napansin ko lang yung mga matatanda gusto gusto si Marcos even though naabutan nila ang Martial Law while ung mga wala pang age 30 ayaw kay Marcos dahil dw sa Martial Law eh hindj nmn nila naranasan  #solidbbm❤💚,positive
talagang karapadapat pangulo,positive
@manilabulletin Sila ang tunay na supporters. Walang hakot artista Kaya masasabi mong #BBMSARA2022 ang pinuntahan.Hindi si Negastar or Ely at kung sinu sino pa. #bbmsarauniteam2022  https://t.co/frvB65njEy,positive
This really break my heart the way ate insists to give her all the money that she earned from fish port just to help the campaign of the UNITEAM   Salamat sa pagmamahal ate sa buong UNITEAM  Wala kabilang parlor niyan  #BBMSARA2022 #BBMSaraUNITEAM  https://t.co/0q7FRNUXh8,positive
magagawa mabuting puso,positive
"When a true leader speaks, people listen. That is the reason why every time BBM speaks, people always tune in. Number of viewers always go up ✌️😁 #SMNITheDeepProbe #SMNIDeepProbe #SMNIpresidentialinterviews #SMNIElectionWatch2022 #bbm #BBMIsMyPresident2022",positive
godbless uniteam,positive
@Pilipinas2022  tignan po Mabuti Sinira Ang Uniteam never again marcos at duterte ano po masasabi inyo po Kay Leody de Guzman at wala karapat dapat uupo bilang president si BBM daw   #bbmforthewin #solidbbm #BBMSARA2022  https://t.co/sFnvWwqeJr,positive
@rowena_guanzon Haha love na love talaga si #BONGBONGMARCOS 😍😍 salamat sa suporta Kay BBM all the way 😉😉❤️💚 #BBMSARA #UNITEAM ❤️💚,positive
red boto,positive
"Presidential Candidate Ferdinand Marcos Jr. (Bong Bong Marcos) in the Philippines is the only candidate calling for UNITY for the people of the Philippines for Philippine progress and not for vengeance. A peaceful May 9, 2022 🇵🇭Your dad salutes you! #BBM  https://t.co/hhR1qGpLxI",positive
fought fair squar less bicker happen audac ultim goal free peopl grip poverti bbm help return illgotten wealth pay tax liabil,positive
"@DDSholic_1972 Mahirap talaga mag explain sa mga taong #parangANGAT eh, aanhin mo yung maring degrees kung most of the time lutang ka naman. Sorry but leni need to gain first the trust of the people. Itaas muna nya trist rating nya noh! #BringBackMarcos",positive
leni alway present mapatunayang husay victori bbmsara,positive
@anjocalimario True UNITY achieved!!!  #UnityBayadEstateTax #MarcosMagnanakaw  #MarcosDuwagTalaga,positive
yesuniteam nagwawagay bandila pilipinasth best,positive
watch latest vlog ubo tissu iyak panginoon mahal pilipina binigay pamunuan dutert,positive
time run support defend vote buy sim card tell peopl team flex muscl,positive
respect choic creditstotheown,positive
photo bbm ralli ipost issu object photo pinklawan issu dame object,positive
"@bongbongmarcos Noong nagcaravan sa Navotas, nagbantay ako sa FB live feed... nagbilin ako sa mga crew ko, na gawaan at bigyan ng iced coffee ang aking future President.. kinilig ako ng bonggang bongga that you got it, and you drink it... nakita ko pa sa",positive
No lies detected. #bbmsarauniteam2022,positive
kayang pantayan kayang talunin mahal presid bongbong marcoskahit pagsamahin speak lser magsanibpwersa kangkunganang bagsak mgatalunan,positive
Lumaki ako na ang alam sa Edsa Revolution ay pinatay ang bayani DAW na si Ninoy! Nahubog ako ng textbook sa Galit at poot sa mga Marcos!.. Bbm sampu ng aking pamilya sisiguruhin kong mananalo ka!..  #BBMismypresident,positive
"🇵🇭 It's a privilege to cast our ONE VOTE to the ONE MAN who has been accused and condemned all his life, yet never in a single day harbored hatred towards his accusers. #BBM",positive
heller power peopl includ real pilipino peopl,positive
philippin foreign worker ofw happi learn plan tax think time tax oversea filipino worker,positive
taray inday lodi mam presid,positive
juz confus win prang feel nadagdagan nababasa lumipat bbm support think win time,positive
good luck libo good luck mceth behind dyani,positive
lesgoooo ferdinand bongbong,positive
alway reason manifest good bad legend know,positive
"Guys, let's just be careful when we shake hands with BBM, because maybe we're too excited, we don't know anymore, we're already hurting BBM❤️😔  #bongbong  #BBMIsMyPresident2022  #BBM  https://t.co/qSwPX7SEte",positive
away support support friend peopl know bangayan facebook elect emot ruin relationship,positive
"Cavite, excited na ba kayo?  Makisaya at maki-Bongbong-Sara na sa ating Cavite Grand Rally bukas! Magkita-kita tayo sa Gen. Trias Sports Complex, 5PM. Iparamdam natin ang lakas at pagmamahal ng mga Caviteño sa tambalang BBM-Sara! 💚❤️🇵🇭  #UniTeamBBMSara  #LAKASniSARA  #BBM2022  https://t.co/tonE6eGKm9",positive
kpop stan vote leni friend kdramakpop stan vote bbm,positive
marikina ralli sakalam spot sumagot abd straight point,positive
solid bbm soliddddd langggg,positive
red extra strong,positive
sandro dipa artista dinudumog mindset landi,positive
PROUD UNITEAM SUPPORTER #BRINGBACKMARCOS  https://t.co/tAsnSClZ6c,positive
"Mga kapwa ko Pilipino, hindi tayo mangmang. Wag tayo magpaloko!  Hindi dapat suportahan ang #BBMIsMyPresident2022 #BBMFORPRESIDENT2022   Bumoto tayo ng may pananagutan! Paki-usap.",positive
"inuuto raw ng mga kakampink ang kabataan kakaiba talaga mag isip tong mga to HAHAHAHAHAHA una po sa lahat mga manong at manang nde konti na lang po oras niyo dito sa mundo, kami po ang maiiwan, kami na naman po ang sasalo sa mga pagkakamali niyo :)  #BBMForPresident #BBM",positive
familiar pagkakaisa want power famili,positive
kakampink lipat kyo bbm sinabihan kyo love basto pari ina makipag selfi pinalaya,positive
patuloy nangunguna uniteam,positive
"Prof. Clarita Carlos, giving us the ""Philippines will be in a good hand face.""❤💚✌🏽 #BringBackMarcos Marcos #UNiTeamBBMSARA #BBMIsMyPresident2022  https://t.co/0mINhDVGc8",positive
bingi debat sake tapatan bbm maglingkod bayan,positive
sakalam bbm,positive
umulan napaligiran pulang rosa bast,positive
#BBMSaraUNITEAM  ofc im a BBMSOLID. BBMSARASOLID. MY PRESIDENT IS BBM 2022. MY VICE PESIDENT IS SARA 2022. MY FAMILY IS BBMSARASOLID. ❤✌👊💚🇵🇭,positive
Nkakaproud maging supporter niya 😍  ❤️💚 #BBM #BBMSaraUNITEAM #BBMSara2022,positive
presid asal dictat kamo gamitin balota wasto,positive
malindoguy machiavellian leader machiavellian leader virtuous compassion love,positive
ascent presid held father fm certain call bbms victori simplist restor least win complet peopl redempt,positive
God... I love these two❤ Please protect and guide them always🙏❤ #UniTeam #BBM #BBMSARA2022   https://t.co/yer3D4wBYq,positive
Kahit ano gawin nyo ilan pa followers nyo d pa rin matatalo c #BBM,positive
bbm ensur next admin continu add gain achiev,positive
epitom beauti queen alway forev mama imelda sincer countri peopl never unnot dc,positive
@ABSCBNNews Gooo pops all of us are supporting u #bringbackMARCOS,positive
WHY CANT YOU JUST CONCENTRATE ON CAMPAIGNING RATHER THAN MAKING COMMENTS ON OTHER CANDIDATES DECISION? DAMI NYO TIME MAG SIRAAN EH WALA NMN GINAGAWA ANG MGA KALABAN NYO SA INYO KZ BUSY SA CAMPAIGN!  👉❤️❤️💚  #BBM #UNITEAM,positive
"I salute you pops BBM for being so sincere and kind, despite of those hatred that has been throwing at you for thirty years.  We'll support you all the way! Please take care always! 💖🤗 @bongbongmarcos ❤️💚  #BringBackMarcos #BBMIsMyPresident2022  https://t.co/2V8aUyzTa5",positive
kupo !!! 🤦🥴 bilang magulang alam na alam natin at kilala natin ang ugali ng mga anak natin .. kung sya kayang linlangin ng mga anak nya .. WAG TAYO !!! 😂😂😂  #BBMisMyPresident ✌️ #BBMSaraUNITEAM ✌️👊❤️💚  https://t.co/Ws0ctToSZm,positive
loyalista kabila napakasimpleng explan presid set exampl tax tax collect necessari countri build bridg teacher doctor provid support peopl,positive
The one who doesnt need to throw stones at his rivals but focuses on how to make his country great again he has a brilliant mind and ideas I believe in Marcos Supremacy🙇🏼‍♀️I Salute my hand and I'll give my trust on u sir BBM❤️💚🇵🇭✌🏻🐯    #BBMForPresident #BBM #BBMSARA2022  https://t.co/AM3axUbByg,positive
love presid,positive
bbm unifi presid bbm sign allianc big polit parti phil walk talk help support strength uniti,positive
