tweet,polarity
#aNEhan na bukasssss. 💖💖 OMG! Maraming supporters ng kabila sa probinsya namin pero sana marami na pong nagbago isip o iconsider na pakinggan yung candidates na may totoong plataporma. Yung may resibo na. #LetLeniLead2022 #AngatBuhayLahatKayLeni #LeniKikoAllTheWay,d
"Context: Photo from Martial Law Library (Gdocs)  https://t.co/yWmJdOdJLl  SICK SICK SICK  Skit or photoshopped, I will not vote for you.  #MarcosMagnanakaw #LeniWanagSaDilim #LetLeniLead2022 #IpanloNa10To  https://t.co/s7mnWywY2H",d
What happened to unity and no to negative campaigning?  Imagine the hate they can impose on regular Filipinos if Marcos wins.  #LetLeniLead2022 #LetLeniKikoLead2022,s
I SAY TAMA  #LetLeniLead2022 #LeniKiko2022  https://t.co/xEIn9PAhnf,a
Tama ba yorn? Nagpaalam na mag leave w/o pay na naman para maka-attend ng rally sa sabado??? Walang sasahurin for Leni #KulayRosasAngBukas #LetLeniLead2022,b
AndiNE na si Leni #KulayRosasAngBukas  #LetLeniLead2022  #NuevaEcijaIsPink #aNEhan  https://t.co/k6yP8AVBNO,a
"""A gentle reminder that as much as we love to lambast Sandro Marcos, we should also refrain from tagging Jake Zyrus along with him.  Transphobia can manifest in many ways, and sometimes we do this unconsciously"".  #LetLeniLead2022 #KulayRosasAngBukas #MarcosMagnanakaw",d
Mga nursing student for LENI!!!! Tama behavior po   #LetLeniLead2022 #Kakampink #LeniKikoAllTheWay #AngatBuhayLahat #KulayRosasAngBukas #LeniKikoAllTheWay  https://t.co/ImSwKBLorJ,a
Pangarap kong magkadegree kagaya ni Vp Leni💗💗💗  #LetLeniLead2022 #KulayRosasAngBukas,a
@Simplengunggong #LeniAngatSaLahat #LetLeniKikoLead2022 #LetLeniLead2022,a
Supporting Leni kiko into metaverse  #kakampinks  #LetLeniLead2022  #KikoAngManokKo  #KulayRosasAngBukas  https://t.co/jorOktALss,a
Sikat na kayo mga mare (my friend with colored hair) @jL_umaLi and (my bf with same shade of shirt) @jeiyometry !! #MapapagodPeroHindiSusuko #LetLeniLead2022,a
@LemueLaban Sikat na kayo mga mare (my friend with colored hair) @jL_umaLi and (my bf with same shade of shirt) @jeiyometry !! #MapapagodPeroHindiSusuko #LetLeniLead2022,a
Ariana and Bretman natagpuang pinklawan 💮🌸🌺🌷 #LeniKiko2022 #LetLeniLead2022 #KulayRosasAngBukas  https://t.co/5rI1JVemAJ,s
"I'm just watching, yet my tears are about to fall. All of us wants to to have a better government. And I know in my heart that  @lenirobredo can do this! #LetLeniLead2022",a
Kay Leni tayo!!! #Kakampink #KulayRosasAngBukas #LetLeniLead2022  https://t.co/WtBgtPxuCD,a
Gagstii mga umasa sa ka-talking stage for leni #LetLeniLead2022,a
@PBBM_VPSD Salamat Sa video na ito. Talagang pinatunayan nyo ang tunay na kulay at layunin ng unithieves. Yung Wala daw siraan? Wala daw negative campaigning? Hahaha! #LetLeniLead2022 #LeniKiko2022 #AngatBuhayLahat #Kakampink #PasigLaban,a
Proud member of “Mga abunado for Leni” ✊🌷  Willing gumastos at gumala para maipakita ang suporta’t pagmamahal ko sa LeniKiko!   @lenirobredo pero.. ano po sagot mo sa tanong ko? 😅💍 (hi nga pala @jpgrobredo 👀)  #LetLeniLead2022 #PasigIsPink #PasigLaban #PasigLabanParaSaTRoPa  https://t.co/wcvb6oxCRr,a
"BABAE. Hindi ""Babae Lang"". #LetLeniLead2022",a
Masakit ba katawan ko ngayon? Yes Napaparaning ba ako dahil pandemic pa din ngayon? Yes Pero PUTANGINA DI AKO MAKAGETOVER SA NANGYARI KAHAPON. #LetLeniLead2022 #Kakampinks #PasigLabanParaSaTRoPa,a
"@GerryCacanindin hehe , mas gitna ang Makati!   PINK SOUTHIES, YOUR TIME TO SHINE!!!  🌸🌸🌸  #LetLeniLead2022",a
#LeniKiko2022 #KulayRosasAngBukas #GobyernongTapatAngatBuhayLahat #LetLeniLead2022 #10RobredoForPresident #7KikoPangilinanVicePresident,a
anyare sa no to negative campaigning???  #LetLeniLead2022 #LeniRobredoForPresident,d
"Last 1986, the streets of the Philippines flooded with people to fight for freedom. This 2022, history repeats in pink. So damn proud to be part of a revolution lead by an inspiring leader like Leni. #IpanaloNaNatinTo #LetLeniLead2022",a
LET LENI WIN PLS!🤞🏻💗  #LeniKiko2022 #LetLeniLead2022 ctro.  https://t.co/EoVYENauDR,a
Wahhhh😭😭 #LetLeniLead2022 💗💝🌸!!!!,d
"Her hands, how she hold such strong character... That's why I fall into her so softly.   Mahal kita at buong puso kitang susuportahan (Mama) @lenirobredo   #LetLeniLead2022  https://t.co/lLJF7MLJfV",a
"TRoPa, not Ro/Sa. Wag tayong mamili ng butangera as VP. Masisira lang ni SWOH ang dangal ng OVP na itinaguyod ni VP Leni. Kiko tayo pls. #LetLeniLead2022 #KikoForVicePresident",a
Chantel niyo pagod na 🌸🌷🎀‼️   #LetLeniLead2022  https://t.co/z4XLf7svWo,d
@DocHappy95 Gusto nyo pa ba ng another 6 Years na me Duterte... 💀 #NeverForget #NeverAgain #LetLeniLead2022  https://t.co/gxHMGZtnSX,d
#fakenews #LetLeniLead2022 #LeniKiko2022 #LeniRobredoForPresident  Supporters ano ba ginagawa sa nag lalabas ng fake news  https://t.co/485XGmEI0G,a
We're too young to vote but not too young to care🌸  #LetLeniLead2022  #LeniKiko2022  #10RobredoForPresident  #7KikoPangilinanVicePresident,a
"@Stewart___O Ironically, kung alin pang mga sectors ang talagang priority ni VP Leni na matulungan marami sa kanila blind fanatics pa of LBMSWOH. 🙂 #SixYearsOfFakeNews #WakeUpPilipinas #LetLeniLead2022",d
"Grabe, we are witnessing how many pinoy right now ang gusto ng lehitimong pagbabago sa ating gobyerno. They show up, pinaparamdam nilang, hindi nag iisa si Leni, Kiko and their slate sa pagbabagong nais nila sa bansa.  #LetLeniLead2022  #KulayRosasAngBukas  #KikoAngManokKo",a
Tapos sasabihin para lang daw sa mga artist ang pinunta ng mga kakampinks? Oh no! D yan totoo.. #LetLeniLead2022 #PasigLaban,a
Gusto nyo pa ba ng another 6 Years... 💀  @AkoSiTitoMarco @teta_limcangco @oslecjunior @gabemercado @SaltAndReality @guingonabart @jamelaaisha @Xiao_Chua @mlq3 #NeverForget #NeverAgain #LetLeniLead2022  https://t.co/gxHMGZtnSX,d
@floooweeen 💖🌷🎀 #LetLeniLead2022 #LeniKikoAllTheWay,d
Gusto ko lang i-share na weird ang kilay ko!   Makapal ang kilay for Leni 😅  #LetLeniLead2022 #LeniKiko2022  https://t.co/UsJqqWGsbY,d
🌸👌 #PasigLaban #LetLeniLead2022 #KikoForVicePresident,d
#LetLeniLead2022 💓💓💓,d
"Oh and the freaking edited pics ""photo patching"" daw halata namang sila nag edit lol(manuod kayo videos kita don na di 'yon edited), like omg Inggit. #MarcosMagnanakaw  #LetLeniLead2022  https://t.co/mWQOGXDqG5",d
"Hindi pako botante, pero deserve ng Pilipinas si Leni! 🌷🎀  #KulayRosasAngBukas #LetLeniLead2022",a
@ksneumi #LetLeniLead2022,d
@nftkalila #LetLeniLead2022 🌷,d
your idol really reflects your attitude and perspectives talaga. hindi dapat kayo nagtrabaho kung hindi maayos 'yung pag-treat ninyo sa customers.  #LetLeniLead2022 #KulayRosasAngBukas #MarcosMagnanakaw #KayLeniTayo #LeniKikoTeam2022,a
#PasigLaban grabe kayo!!!😍😍😍 I'm so inggit but super happy at the same time🌺🌺🌺 #LetLeniLead2022  #KulayRosasAngBukas,a
#LetLeniLead2022 bubu me tao sa likod  https://t.co/iosacDd2Lm,d
