"","tweet"
"1","saliva masasangla keeps promises manila entire nation promise"
"2","yorme deserving place"
"3","unobtrusive fighting away online gives food boxes manila leader"
"4","boost old gambling skoba interest comments section hanna responded mareng jessica besides subi scopal"
"5","angelica panganiban hurt shortly call queen"
"6","turon bow haayan binato turon arte"
"7","future president philippines young fresh hip proclamation rallly used heart wisdom proven big quickly effectively effectively"
"8","win president continuing huh goal dba country repeat"
"9","arroceros urban forest months work fun maitalba arroceros yorme read"
"10","grind eat sleep repeat btw good"
"11","answer answer answer chief navy"
"12","cold grinding alright"
"13","debate crowd sound effect awesome fairness far almost maidevel answer four"
"14","willing vore shell condemns cpp pandf change mind"
"15","lackluster lineup puppet fake till wolf sheeps clothing questionable lack knowledge"
"16","professors mentioned class mos buy generator isko idonate nice isko gods"
"17","camp leni mfa question yanpara talking dba gano flot"
"18","favorite government sound sins nothing good government"
"19","pretty clear pronpa candidates plan soft npa terrorist panelist clarita carlos pm feb"
"20","bongbong twisted base track record"
"21","legit boboto president"
"22","camp optimistic survey numbers improve"
"23","happy yahoo crypto friends love lots"
"24","invincible crowd easily admins endorsement peoples votes supported equation bbm"
"25","wake fellow countrymen rightly"
"26","righteous kapampinks imagine cleans nagcacamampaign magcancel create curbs perhaps gets added supporters drama kesyo"
"27","pinas surprises country majority voters bobotantes famous excellent maglamish rame dictator previously tube university bbm wins kaw"
"28","reception person withdraw withdraw cause"
"29","hot accepted team catarman northern samar"
"30","allen northern samar"
"31","welcome lavazares samar"
"32","ho modelan pocket novetorn people benefited nunsimple leader crisis build"
"33","legit transparent lift life"
"34","dugorous motorcade"
"35","known underestimated"
"36","true caravan team"
"37","caravanno paid color wearing"
"38","cah assistance fire victims fact policy maynila yanexample"
"39","thanks miss vivian velez team supporting shy shaving"
"40","cavite fire victims time crisis"
"41","pasay rock pasay legit supporter fee real"
"42","future management bayanhindi memapure island"
"43","pasay height"
"44","team wisely"
"45","leader intelligent social level"
"46","love quezon belongs president"
"47","judgments inevitably acting limited knowledge best seek understand simply jay woodman"
"48","thorn debate super cooked"
"49","isko spreads strategy humila elbiem"
"50","politician understands concept basic needs"
"51","reminder pinks toxic loyalists hate noise"
"52","transcript pass courses fall overall earned eleven credit units withdrawing program says major undeclared meaning declared chosen actual major"
"53","watching mins cringe"
"54","fact check degree finished degree fallen possibly undergraduate degree"
"55","tondominium tondominium rise foreground slaughterhouse area vitas tondo isko produced dds isko alliance"
"56","clamor real"
"57","realize worthy"
"58","check theyve mean flagship projects basketball brgy hall speaking issues viewed result proofa"
"59","process consulted attended meetings mayor isko asked tough questions ramel ob vico sotto pasig"
"60","great start visayas"
"61","psst think payslip size attack tax boboto tax evader ganon mars"
"62","disappointing urong communist isko"
"63","age issues old nothing nman proven surviving saying child staple grow peeps"
"64","provides housing project dignity people"
"65","powerful election filipino believe propaganda"
"66","projects amidst pandemic imagine constraints pandemic"
"67","wise mind consider merits candidates otherwise pathetic fanatic"
"68","model real fanatic"
