,tweet
1,#BBMIsMyPresident2022 #BBMismypresident #BBMparasalahat  #SARAismyVP2022  #UniTeamMahalinNatin  #UniTeamBBMSARA
2,#UniTeamBBMSARA  #BBMIsMyPresident
3,QC for BBM 😍 pero may mga nainggit nilangaw daw😅  #UniTeamBBMSARA  #GoBBM #BBMismypresident  https://t.co/nwpR64MWFL
4,Look at our future President 😍  #BBMismypresident
5,Ver Proud of Apo #BBMismypresident kse di pa sya nakaupo napapasunod na nya ang mga Presidentiables. Imagine! This is what we call FOLLOW THE LEADER! 🤣 Baka nga naman tumaas rating nila pag mag absent din! Imagine lagi absent pero nagna Number 1 pa! Ginaya tuloy! 🤣😛✌🏻❤️👊🏻💚🇵🇭  https://t.co/XJk32kx6VS
6,We love you Mr. President @bongbongmarcos ❤✌🏽  #BBMismypresident  #BBMforPresident #BBM #UniTeamMahalinNatin  https://t.co/9ORGeDl1iO
7,"@MIGGY_0129 Di bale, nandyan PA naMan Yung IBang kandidato for president, it is their loss, not #BBMismypresident chance na Sana nilang ipakita Kung karapat dapat silang Iboto as president, baka Lang hindi Nila KayaNG harap in ang TotooNG karapat dapat na"
8,"Ang mga Kakampon, kakampwets hindi makaintindi ng kaibahan ng debate sa interview, sa forum..  Bugok talaga🤣🤣🤣🤣🤣  Cancel n natin lahat ng PINKS/YELLOWS  #BBMSARAH2022  #BBMismypresident  #Cancel/Block all negative pinks here.."
9,"@KimIndar @lenirobredo First time nya kse nagkaroon ng ganyang crowd, si #BBM sobrang daming caravan na, na wayyyyyyy... larger dyan sa pinagmamalaki nya🤣  #BBMismypresident"
10,@iamwhatiam30 ❤  #BBMismypresident
11,"@iamwhatiam30 Hindi po talaga marunong rumespeto ang mga bayaran.  Well, carry naman ni Sir #BBM so sorry nalang sila🤪  #BBMismypresident"
12,Some clips from Batas Militar. Watch the full documentary at  https://t.co/KeR0unRQgx #BBM2022 #BBMSARA2022 #BBMismypresident #NeverForget #NeverAgain  https://t.co/AEeK18Rc0m
13,"Congratulations sir @bongbongmarcos! We will make sure to even soar higher and claim victory this May. We will continue praying for you, and mayor Sara. Mabuhay po! The Filipino deserves you. 👏👏👏 #BBMSARA2022 #BBMismypresident"
14,Hindi na ba talaga pang babastos yung sisigawan mo yung isang tao ng magnanakaw ?  Basic Human rights daw yun public  speaking pero GMRC is waving.  #BBMSARA2022  #BBMismypresident
15,ang cute nilang tatlo❤💚  #BBMForPresident  #BBMismypresident  #BBM
16,#BBMismypresident  #BBMSARA2022  #NagmamaLenis
17,#IbobotoKoSiBBM #BBMSARA2022  #BBMismypresident
18,Kaylangan pa ba mgeleksyon ❤️✌🏻💚👊🏻 #BBMismypresident #saraalltheway #UNiTeamBBMSARA
19,Hahaha.. bat kau triggered. Bat kau galit kung naisama si James? Baka gusto nyo din sumama? Hahaha #kakampinks #BBMSARA2022 #BBMismypresident
20,@ricardocelebra1 ALWAYS BE THE FIRST SO WE’RE SO HAPPY ABOUT THAT MABUHAY.❤️💚#BBMIsMyPresident BBMSARA ✌️👊
21,AFTER THE LATE FEM PRRD IS THE ONLY PRESIDENT WHO DEEPLY CARE AND LOVED THE FILIPINOS AND THE NATION. AWESOME WE’LL NOT FORGET YOU  WE’LL ALWAYS REMEMBER YOU FOREVER. GOD BLESS YOU ALWAYS PRRD. 😂👍👏MABUHAY ❤️💚#BBMIsMyPresident BBMSARA ✌️👊
22,Aerial shot at the background. Ganon dapat ang attendance para maging winner. #LabanLeni2022  #BBMIsMyPresident  #orasnamarcosna  #UniteamBBMSara2022  #BBMForPresident
23,More or less 7k attendees lang yung Pink Taliban parade of losers knina sa QC. According sa PNP. HAHAHAHAHA!!!  Plus bagsak na naman sa sunod sunod na survey. #Olats kaya #LabanLeni2022 bwahahahaha...  #BBMIsMyPresident #OrasNaMarcosNa  #UniteamBBMSara2022
24,Kitang kita kung sino ang gusto ng tao.   Pulse Asia #BBMSARA2022  #BBMismypresident
25,Ha ha ha mga Penks hindi napigilan Napa sigaw at tumatalon ng BBM haiiiii buhay nga naman oo god bless you all guys. Stay safe always. Mabuhay❤️💚#BBMIsMyPresident BBMSARA ✌️👊
26,@KimIndar @bongbongmarcos This is how we can portray #FakeVP   Leni's latest #PulseAsia survey number dropping 4% more vs her rivals. She's making out as if her poll number isn't consistent w/ her dumb insistence that she can dislodge #BBMismypresident mi
27,Lumaki ako na ang alam sa Edsa Revolution ay pinatay ang bayani DAW na si Ninoy! Nahubog ako ng textbook sa Galit at poot sa mga Marcos!.. Bbm sampu ng aking pamilya sisiguruhin kong mananalo ka!..  #BBMismypresident
