"","tweet"
"1","ang laway ko nasasangla keeps his promises hes done that for manila he can do that for the entire nation promise kaya and vote for"
"2","okkkk thank you yorme mas deserving ka talaga sa 2nd place"
"3","habang lahat nagkakagulo at nag aaway away online nagbibigay si ng 700000 food boxes sa maynila yan ang leader"
"4","may na boost na old post about sa gambling days ni iskoba nakaka aliw ang comments section sana naitanong din ni mareng jessica ito bukod sa 50m subi ni iskopal"
"5","angelica panganiban nasaktan pala nang tawagin siyang hugot queen"
"6","ang turon bow ayaw mo haayan binato ka ng turon arte mo eh"
"7","what happened to"
"8","yorme"
"9","future president of the philippines looking very young and fresh and hip at the proclamation rallly kanina this man has the heart the wisdom has proven he can do things big things quickly and effectively"
"10","hindi ba pwede yung kung sino manalo na president magtulongtulong nalang kayo huh isa lang naman goal nyo dba para sa bansa daw umayos kayo"
"11","maiba naman hahaha"
"12","arroceros urban forest park is now open after months of work masaya po ako na kahit paano ay naisalba po natin ang arroceros park yorme read more"
"13","grind eat sleep repeat btw good morning"
"14","may sagot na dito si di pa sya natatanong ang sagot afp chief should be navy"
"15","its so cold but still grinding alright"
"16","smni presidential debate crowd sound effect ay galing ba sa youtube hahaha in fairness so far halos magkakalevel ang sagot nilang apat"
"17","im willing to vote only if shell say that she condemns cppnpandf same with change my mind"
"18","lackluster lineup puppet a fake it till you make it guy wolf in sheeps clothing questionable lack of knowledge"
"19","one of my professors mentioned during class na 5mos na silang hindi sumasahod kasi bumili ng generator si isko para idonate nice one isko gods first"
"20","camp ni leni gusto rin ng mfa tanong na yanpara mapagaralanalam natin dba gano ka lutang si mamang"
"21","aayusin natin ang gobyerno sabi nung matagal nang nakaupo na wala naman nagawa para maayos ang gobyerno"
"22","its pretty clear by now who are pronpa candidates tunay na plano nila is to go soft on npa terrorist rather than going on what prrd have been doing these past years isa sa panelist si prof clarita carlos sa smni 7pm feb 15 2022"
"23","kung si bongbong marcos eh hindi marcos iboboto nyo ba sya base lamang sa track record nya"
"24","para sa legit na boboto lang please do not vote if hindi ka botante or hindi din makakaboto who is your president"
"25","camp optimistic survey numbers will improve"
"26","happy day yahoo to all my crypto friends love a lots"
"27","vote for president"
"28","pero di matatapos ang laban ni if ever mapabagsak nila si because could easily get the admins endorsement and the peoples votes this is also supported by the surveys din if ever mawala sa equation si bbm"
"29","wake up my fellow countrymen please vote rightly"
"30","iiral naman ang mga righteous na mga kakampinks akala mo ang lilinis pero nagcacampaign para magcancel ng mga tao tigilin nyo pagmamalinis at baka makakakuha pa kayu ng added supporters dame nyo drama na kesyo ganyan kesyo"
"31","sa pinas pa no surprises there this is a country where majority of the voters are bobotantes dahil sikat dahil magaling magenglish dahil kapangalan ng diktador dati at thank you sa you tube university ang bbm niyo mananalo kaw"
"32","god first"
"33","pag ganito ang reception ng tao kay no need to withdrawang dapat magwithdraw ay yung ang dahilan sa pagtakbo"
"34","mainit na tinanggap ang team in catarman northern samar"
"35","at allen northern samar"
"36","welcome o lavazares samar"
"37","hindi na ho bago yan kay 100m na pinagmodelan niya hindi bulsa niya nakinabangilang tao ang nakinabang nunsimple lang dapat ang leader sa panahon ng krisis di salita ang gagawa"
"38","ito ang legit transparent and angat buhay"
"39","dinumog ang motorcade ni"
"40","yan ba ang hindi kilala understimated niyo kasi si 2022"
"41","ang totoong caravan team in"
"42","ang tunay na caravanwalang bayad kasi kanya kanyang kulay ng suot"
"43","cah assistance sa mga fire victims ni ay hindi na bagoin fact naging policy na niya sa maynila yanexample jan ang"
"44","thank you miss vivian velez and your team for supporting di po kayo mahihiya na si ang sinuportahab niyo"
"45","in cavite fire victims in time of crisis talaga ang may at"
"46","thank you pasay rock pasay legit supporter walang bayad tunay na"
"47","talaga ang future na pagawaing bayanhindi memapure dekalidad under"
"48","in pasay taas noo kahit kanino"
"49","team in pasay sulong"
