,tweet
1,qc bbm
2,future president
3,proud apo nakaupo napapasunod presidentiables imagine call follow leader
4,love president
5,nandyan president loss chance ipakita karapat silang iboto president kayang harap totoong karapat
6,kakampon kakampwets makaintindi kaibahan debate interview forum bugok cancel pinksyellows block negative pinks
7,time ganyang crowd daming caravan wayyyyyyy larger pinagmamalaki
8,marunong rumespeto bayaran carry sorry
9,clips batas militar full documentary
10,congratulations soar higher claim victory continue praying mayor mabuhay filipino deserves
11,babastos sisigawan magnanakaw basic human rights speaking gmrc waving
12,kaylangan mgeleksyon
13,triggered galit naisama james sumama
14,always happy mabuhay
15,late fem president deeply care loved nation awesome forget always remember forever god bless always
16,aerial background ganon attendance winner
17,less attendees pink taliban parade losers knina qc according pnp bagsak sunod sunod survey bwahahahaha
18,kitang pulse asia
19,penks napigilan napa tumatalon bbm haiiiii buhay god bless stay safe always mabuhay
20,portray lenis latest survey dropping rivals poll consistent dumb insistence dislodge
21,lumaki edsa revolution pinatay bayani ninoy nahubog textbook galit poot bbm sampu pamilya sisiguruhin mananalo
22,proud president bbmsara continue build build build people nationmabuhay
23,join kauniteam
24,magbundok bbm mt kupapey mountain province feb
25,good kauniteam party tomorrow
26,tama never tulugan bilangan
27,crime moral turpitude agree
28,bbm wagayway flag pilipinas nakakatouch ramdam ramdam pagmamahal pilipino bansa natingod bless supporters love
29,boboto kalabawwala kasing boboto
30,kagaleng nagshine
31,lmao hypocrisy hyprocrisy finest
32,kayong marason takot bbm verified legitimate journalists attendan debate organized sex trafficker criminally wanted
33,sayang makikita ngiti alamano
34,breaking news expected statement coming team theyve realized selfdestruct whenever opens mouth
35,useless debate blind supporter daig hs student tumatakbo student government
36,lawyers spokesmen confidence leave alone halata namang marunong magisip spoiled brat boy ngiwi
37,opportunity spill scheme intentions president people crave know aim platforms
38,find hilarious history shall repeat wonder suffer consequences appointing incompetent person representative country
39,else new supporters eventually realize unreliable needed
40,lagot cayetano natrauma tuloy alamano umattend nagtago palda imelda
41,fan debates tagisan talino labanan matalino lusutan binabato umattend talagang duwag bobo
42,trending care know duwag
43,awan met maaramid kitam takrot nabutingan kin cayatano
44,unity obviously excuse kaduwagan traumatized life
45,glimpse presidency bawal tanungin bawal magtanong bawal magpaliwanag
46,lalakas loob magsabi madumb leni samantalang alamano degree oxford nakagraduate bobo
47,maybe wanted exude confidence mask trauma debate cayetano poor destroyed bad attend debates anymore
48,mahalin pilipinas samasama babangon abu dhabi united arab emirates
49,silent majority ghost majority patay bumoboto halalan nakakatakot ingat
50,tamangparaan pagboto kaliwa pangalan itiman isakto butas pagshade
51,watching latest vlog ubos tissue iyak panginoon mahal pilipinas binigay pamunuan duterte
52,yohoooo halatang kargado sulat
53,real people power
54,election watchdog partisan namfrel pccrv
55,bothers candidate intervention foreign government
56,tuloy dismissed disqualification case filed bongbong
57,irrelevant hiyang hiya minority
58,aray kupo ratings playing maintaining months opppsss kalma smartmagic
59,protect family cost
60,together stand devided fall unite country
61,panaginip kalokaaaaa
62,halos magpatayan pro register election
63,family legit legit
64,sad paninira bbm
65,agreed qssociated quiboloy must hold government office otherwise demise beloved country
66,dulo tlgang dinuktungan sbhing mahaba taolol
67,louder lmao
68,villars good teaming unqualified bbm ambition control country hegemony dirty tactics plutocrat capitalism ibasura
69,debate loyalists puntahan madala magising plataporma talino tunay tapang haharap haharap debate unity magnanakaw
