"","tweet"
"1","laway nasasangla keeps promises manila entire nation promise"
"2","yorme deserving place"
"3","nagkakagulo aaway away online nagbibigay food boxes maynila leader"
"4","boost old gambling iskoba nakaka aliw comments section naitanong mareng jessica bukod subi iskopal"
"5","angelica panganiban nasaktan tawagin hugot queen"
"6","turon bow haayan binato turon arte"
"7","future president philippines young fresh hip proclamation rallly heart wisdom proven big quickly effectively"
"8","manalo president magtulongtulong huh goal dba bansa umayos"
"9","arroceros urban forest months work masaya naisalba arroceros yorme read"
"10","grind eat sleep repeat btw good"
"11","sagot natatanong sagot chief navy"
"12","cold grinding alright"
"13","debate crowd sound effect galing fairness far halos magkakalevel sagot"
"14","willing shell condemns cppnpandf change mind"
"15","lackluster lineup puppet fake till wolf sheeps clothing questionable lack knowledge"
"16","professors mentioned class mos silang sumasahod bumili generator isko idonate nice isko gods"
"17","camp leni mfa tanong yanpara mapagaralanalam dba gano lutang mamang"
"18","aayusin gobyerno matagal nakaupo nagawa maayos gobyerno"
"19","pretty clear pronpa candidates tunay plano soft npa terrorist panelist clarita carlos feb"
"20","bongbong iboboto base track record"
"21","legit boboto botante makakaboto president"
"22","camp optimistic survey numbers improve"
"23","happy yahoo crypto friends love lots"
"24","matatapos mapabagsak easily admins endorsement peoples votes supported mawala equation bbm"
"25","wake fellow countrymen rightly"
"26","iiral righteous kakampinks lilinis nagcacampaign magcancel tigilin pagmamalinis makakakuha added supporters drama kesyo kesyo"
"27","pinas surprises country majority voters bobotantes sikat magaling magenglish kapangalan diktador dati tube university bbm mananalo kaw"
"28","reception withdrawang magwithdraw dahilan pagtakbo"
"29","mainit tinanggap team catarman northern samar"
"30","allen northern samar"
"31","welcome lavazares samar"
"32","ho pinagmodelan bulsa nakinabangilang nakinabang nunsimple leader krisis salita gagawa"
"33","legit transparent angat buhay"
"34","dinumog motorcade"
"35","kilala understimated"
"36","totoong caravan team"
"37","tunay caravanwalang bayad kulay suot"
"38","cah assistance fire victims bagoin fact policy maynila yanexample"
"39","miss vivian velez team supporting mahihiya sinuportahab"
"40","cavite fire victims time crisis"
"41","pasay rock pasay legit supporter bayad tunay"
"42","future pagawaing bayanhindi memapure dekalidad"
"43","pasay taas noo"
"44","team pasay sulong"
"45","leader marunong makihalubilo antas"
"46","love quezon belongs president"
"47","judgements inevitably acting limited knowledge best seek understand simply jay woodman"
"48","tinik debate luto"
"49","isko kumakalat strategy humihina elbiem"
"50","politician understands concept basic needs"
"51","reminder pinks toxic loyalists hate noise"
"52","transcript pass courses fall overall earned eleven credit units withdrawing program says major undeclared meaning declared chosen actual major"
"53","watching mins cringe"
"54","fact check degree natapos degree bumagsak makakapagapply undergraduate degree"
"55","tondominium tondominium rise foreground slaughterhouse area vitas tondo isko nagawa dds isko alliance"
"56","clamor real"
"57","magkaalaman mapapagtanto karapatdapat"
"58","check theyve mean flagship projects basketball brgy hall tinignan issues tinignan resulta pruweba"
