word,sentiment
solid,positive
uniti,positive
proud,positive
kakampink,positive
mabuhay,positive
mahal,positive
unit,positive
idol,positive
matapang,positive
bait,positive
smart,positive
bilib,positive
patriot,positive
pagasa,positive
nakakaproud,positive
intellectu,positive
hero,positive
bayani,positive
galing,positive
galingan,positive
uunlad,positive
babangon,positive
sakalam,positive
matalino,positive
love,positive
uniteam,positive
tapat,positive
ipanalo,positive
best,positive
happi,positive
saya,positive
better,positive
heart,positive
totoo,positive
iboboto,positive
deserv,positive
inspir,positive
pagmamah,positive
mahusay,positive
masaya,positive
suporta,positive
pasiglaban,positive
nakakatuwa,positive
lalaban,positive
ipapanalo,positive
liwanag,positive
mananalo,positive
titindig,positive
maganda,positive
honest,positive
pinaglalaban,positive
tumitindig,positive
sinusuportahan,positive
bayanihan,positive
sumusuporta,positive
nakikinig,positive
pagkakaisa,positive
nagbabayad,positive
perfect,positive
malini,positive
trust,positive
aangat,positive
creativ,positive
genuin,positive
overwhelm,positive
saludo,positive
suportahan,positive
talino,positive
matino,positive
ipagmalaki,positive
supporta,positive
sumuporta,positive
malasakit,positive
kakayanin,positive
empow,positive
tiyaga,positive
umangat,positive
strong,positive
stronger,positive
umaattend,positive
susuportahan,positive
kakaproud,positive
kakampi,positive
nagtutulungan,positive
inspirasyon,positive
iangat,positive
labanleni,positive
magaganda,positive
suportang,positive
tutulungan,positive
nakakainspir,positive
sambayanang,positive
