word,sentiment
solid,positive
uniti,positive
proud,positive
kakampink,positive
mabuhay,positive
mahal,positive
unit,positive
idol,positive
matapang,positive
bait,positive
smart,positive
bilib,positive
patriot,positive
pagasa,positive
nakakaproud,positive
intellectu,positive
hero,positive
bayani,positive
galing,positive
galingan,positive
uunlad,positive
babangon,positive
sakalam,positive
matalino,positive
love,positive
uniteam,positive
tapat,positive
ipanalo,positive
best,positive
happi,positive
saya,positive
better,positive
heart,positive
totoo,positive
iboboto,positive
deserv,positive
inspir,positive
pagmamah,positive
mahusay,positive
masaya,positive
suporta,positive
pasiglaban,positive
nakakatuwa,positive
lalaban,positive
ipapanalo,positive
liwanag,positive
mananalo,positive
titindig,positive
maganda,positive
honest,positive
pinaglalaban,positive
tumitindig,positive
sinusuportahan,positive
bayanihan,positive
sumusuporta,positive
nakikinig,positive
pagkakaisa,positive
nagbabayad,positive
perfect,positive
malini,positive
trust,positive
aangat,positive
creativ,positive
genuin,positive
overwhelm,positive
saludo,positive
suportahan,positive
talino,positive
matino,positive
ipagmalaki,positive
supporta,positive
sumuporta,positive
malasakit,positive
kakayanin,positive
empow,positive
tiyaga,positive
umangat,positive
strong,positive
stronger,positive
umaattend,positive
susuportahan,positive
kakaproud,positive
kakampi,positive
nagtutulungan,positive
inspirasyon,positive
iangat,positive
labanleni,positive
magaganda,positive
suportang,positive
tutulungan,positive
nakakainspir,positive
sambayanang,positive
magnanakaw,negative
fake,negative
bobo,negative
tanga,negative
lenlen,negative
duwag,negative
troll,negative
bayaran,negative
lutang,negative
absent,negative
corrupt,negative
dilawan,negative
paninira,negative
ill,negative
loser,negative
lugaw,negative
bias,negative
lbm,negative
kakampwet,negative
takot,negative
nakaw,negative
ninakaw,negative
tamad,negative
madumb,negative
npa,negative
sibuyas,negative
put,negative
apologist,negative
iyak,negative
alamano,negative
toxic,negative
kapal,negative
waley,negative
binayaran,negative
yabang,negative
shit,negative
dumb,negative
nagnakaw,negative
gago,negative
elitista,negative
tangina,negative
hampaslupa,negative
fuck,negative
stupid,negative
pagnanakaw,negative
ngiwi,negative
minyak,negative
nakakahiya,negative
bangag,negative
inutil,negative
bitch,negative
masama,negative
liar,negative
kabobohan,negative
adik,negative
talunan,negative
kasinungalingan,negative
illgotten,negative
boba,negative
blengblong,negative
baliw,negative
trapo,negative
ninakawan,negative
nakakakilabot,negative
kilabot,negative
nakakatakot,negative
nanakaw,negative
lbms,negative
lbmers,negative
joker,negative
dictatorship,negative
crimin,negative
delusion,negative
tangahan,negative
matatalo,negative
mananalo,negative
cheap,negative
dilawanfenk,negative
ampota,negative
peke,negative
pavictim,negative
nilalangaw,negative
magnakaw,negative
lbmer,negative
misinform,negative
buang,negative
bogo,negative
nagbubulagbulagan,negative
nakakadiri,negative
panatiko,negative
terorista,negative
iyakin,negative
machiavellian,negative
disinform,negative
unithiev,negative
tatakbo,negative
tambay,negative
elitist,negative
evil,negative
disappoint,negative
loyalist,negative
sinungaling,negative
nakakalungkot,negative
korapsyon,negative
butangera,negative
weak,negative
worst,negative
teroristang,negative
redtag,negative
tnga,negative
diktador,negative
desperado,negative
kadiliman,negative
sakim,negative
pyongbong,negative
katangahan,negative
kalokohan,negative
loyalista,negative
hypocrisi,negative
bobong,negative
binabayaran,negative
tangang,negative
