id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1493578906401591299,1493578906401591299,2022-02-15 21:32:15 China Standard Time,2022-02-15,21:32:15,+0800,1872487759,soundcheckmnl,SoundCheckManila,,"""Ang laway ko nasasangla""  #IskoMoreno @IskoMoreno   keeps his promises!  He's done that for Manila, he can do that for the entire nation! #KayIskoPosible promise! kaya #SwitchToIsko and vote for #Yorme 💙💙💙💙  https://t.co/ipZRLQO5ff",en,"[{'screen_name': 'iskomoreno', 'name': 'isko moreno domagoso', 'id': '998813499714224128'}]",[],[],0,4,9,"['iskomoreno', 'kayiskoposible', 'switchtoisko', 'yorme']",[],https://twitter.com/SoundCheckMNL/status/1493578906401591299,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1493578737270489088/pu/img/3b_thDBb-1VpT3cl.jpg,,,,,,,[],,,,
1493126329016864768,1493126329016864768,2022-02-14 15:33:52 China Standard Time,2022-02-14,15:33:52,+0800,1476571407211327496,senseknockr3435,Senseknocker.,,#IskoMoreno #yorme #switchtoisko,und,[],[],[],0,0,0,"['iskomoreno', 'yorme', 'switchtoisko']",[],https://twitter.com/senseknockr3435/status/1493126329016864768,False,https://twitter.com/senseknockr3435/status/1493126064427585542,0,,,,,,,,[],,,,
1492181485654183938,1492181485654183938,2022-02-12 00:59:24 China Standard Time,2022-02-12,00:59:24,+0800,1335013670036725760,yennyennmp,𝚈𝚎𝚗𝚗 ✌︎︎,,Okkkk. Thank you Yorme. Mas deserving ka talaga sa 2nd place. ☝🏻  #Yorme #2ndPlace #Halalan2022  https://t.co/ya0Iw5LqNj,en,[],[],['https://pbs.twimg.com/media/FLVLJfZUUAAYAbk.jpg'],0,0,0,"['yorme', '2ndplace', 'halalan2022']",[],https://twitter.com/yennyennmp/status/1492181485654183938,False,,1,https://pbs.twimg.com/media/FLVLJfZUUAAYAbk.jpg,,,,,,,[],,,,
1492014822510428163,1492014822510428163,2022-02-11 13:57:08 China Standard Time,2022-02-11,13:57:08,+0800,1872487759,soundcheckmnl,SoundCheckManila,,"Habang lahat nagkakagulo at nag aaway away online, nagbibigay si #Yorme @IskoMoreno ng 700,000 food boxes sa Maynila! 'Yan ang leader! #KayIskoPosible #SwitchToIsko #BilisKilos #IskoMoreno  https://t.co/CYopoKlF4H",tl,"[{'screen_name': 'iskomoreno', 'name': 'isko moreno domagoso', 'id': '998813499714224128'}]",[],['https://pbs.twimg.com/media/FLSzktkagAAt-ao.jpg'],0,0,0,"['yorme', 'kayiskoposible', 'switchtoisko', 'biliskilos', 'iskomoreno']",[],https://twitter.com/SoundCheckMNL/status/1492014822510428163,False,,1,https://pbs.twimg.com/media/FLSzktkagAAt-ao.jpg,,,,,,,[],,,,
1491755183785005065,1491755183785005065,2022-02-10 20:45:25 China Standard Time,2022-02-10,20:45:25,+0800,1245364366850940929,slayerngjupal,Slayer Ng Jupal,,"May na boost na old post about sa gambling days ni Iskoba, nakaka aliw ang comments section. Sana naitanong din ni Mareng Jessica ito bukod sa 50M subi ni Iskopal #Yorme #IskoMoreno   https://t.co/sTe9StlB7F  https://t.co/a3zIuZhvo4",tl,[],['https://m.facebook.com/abscbnNEWS/photos/a.84382255167/10151257633230168/?type=3'],"['https://pbs.twimg.com/media/FLPHbR1agAA4J7M.jpg', 'https://pbs.twimg.com/media/FLPHbj4agAItkXu.jpg']",1,0,0,"['yorme', 'iskomoreno']",[],https://twitter.com/SlayerNgJupal/status/1491755183785005065,False,,1,https://pbs.twimg.com/media/FLPHbR1agAA4J7M.jpg,,,,,,,[],,,,
1491739567074181123,1491739567074181123,2022-02-10 19:43:22 China Standard Time,2022-02-10,19:43:22,+0800,604418255,pinoytrendph,TRENDING PINOY,,"Angelica Panganiban, nasaktan pala nang tawagin siyang 'Hugot Queen'?  https://t.co/ZKS8OjlZdx #MarcosDuwag  #MarcosNumber1Sinungaling  #LeniTangaSaLahat  #YORME #LetLeniLead #Trending #TrendingNow",tl,[],['https://pinoyfavsph.blogspot.com/2022/01/angelica-panganiban-nasaktan-pala-nang.html'],[],0,0,0,"['marcosduwag', 'marcosnumber1sinungaling', 'lenitangasalahat', 'yorme', 'letlenilead', 'trending', 'trendingnow']",[],https://twitter.com/PINOYTRENDPH/status/1491739567074181123,False,,0,,,,,,,,[],,,,
1491702067580530688,1491702067580530688,2022-02-10 17:14:22 China Standard Time,2022-02-10,17:14:22,+0800,280417318,beausoul,Beautiful Soul,,Ang turon bow!! ...Ayaw mo ha...ayan binato ka ng turon ...arte mo eh #yorme @IskoMoreno.. https://t.co/YLKkRJ9dAo,tl,"[{'screen_name': 'iskomoreno', 'name': 'isko moreno domagoso', 'id': '998813499714224128'}]",['https://www.facebook.com/pinoyakoblog/videos/304578788328793/'],[],0,1,0,['yorme'],[],https://twitter.com/BeauSoul/status/1491702067580530688,False,,0,,,,,,,,[],,,,
1491416817000411136,1491416817000411136,2022-02-09 22:20:53 China Standard Time,2022-02-09,22:20:53,+0800,1399707772149583872,apolakay15,APO LAKAY,,#Yorme,und,[],[],[],1,0,0,['yorme'],[],https://twitter.com/APOLAKAY15/status/1491416817000411136,False,,0,,,,,,,,[],,,,
1491393744347987972,1491393744347987972,2022-02-09 20:49:12 China Standard Time,2022-02-09,20:49:12,+0800,1147013113138409472,andreus73336134,Andreus Fabian Ver | Ilokano for Leni,,What happened to #GodFirst #yorme?,en,[],[],[],0,0,0,"['godfirst', 'yorme']",[],https://twitter.com/Andreus73336134/status/1491393744347987972,False,https://twitter.com/BoomBuencamino/status/1491252892749398017,0,,,,,,,,[],,,,
1491087039139254274,1491087039139254274,2022-02-09 00:30:27 China Standard Time,2022-02-09,00:30:27,+0800,444826309,byxbuzz,Byx Speaks 🇵🇭🇹🇼🇨🇳🇰🇷🇹🇭🇬🇧🏳️‍🌈,,YORME!!! @IskoMoreno #IskoMoreno #Yorme  https://t.co/CelxopxLWK,tr,"[{'screen_name': 'iskomoreno', 'name': 'isko moreno domagoso', 'id': '998813499714224128'}]",[],['https://pbs.twimg.com/media/FLFnwpLVUAcSbM0.jpg'],0,0,0,"['iskomoreno', 'yorme']",[],https://twitter.com/byxbuzz/status/1491087039139254274,False,,1,https://pbs.twimg.com/media/FLFnwpLVUAcSbM0.jpg,,,,,,,[],,,,
1491085577407516675,1491085577407516675,2022-02-09 00:24:39 China Standard Time,2022-02-09,00:24:39,+0800,32758616,jacquelinemegan,jacqueline,,"Future President of the Philippines #Yorme #IskoMoreno @IskoMoreno looking very young and fresh and hip at the proclamation rallly kanina.  This man has the heart, the wisdom,  has proven he can do things BIG THINGS quickly and effectively!!!  #KayIskoPosible #SwitchToIsko  https://t.co/G7DyMr8wxh",en,"[{'screen_name': 'iskomoreno', 'name': 'isko moreno domagoso', 'id': '998813499714224128'}]",[],"['https://pbs.twimg.com/media/FLFma4QaQAIt4TR.jpg', 'https://pbs.twimg.com/media/FLFmbInaIAEJ7Cv.jpg', 'https://pbs.twimg.com/media/FLFmbdtakAE2AG5.jpg']",1,9,14,"['yorme', 'iskomoreno', 'kayiskoposible', 'switchtoisko']",[],https://twitter.com/jacquelinemegan/status/1491085577407516675,False,,1,https://pbs.twimg.com/media/FLFma4QaQAIt4TR.jpg,,,,,,,[],,,,
1491046466710032388,1491046466710032388,2022-02-08 21:49:14 China Standard Time,2022-02-08,21:49:14,+0800,192513685,missyjig_,sunset,,"Hindi ba pwede yung kung sino manalo na President, magtulong-tulong nalang kayo, huh? Isa lang naman goal nyo dba, ""para sa bansa"" daw. Umayos kayo! #Leni #Ping #BBM #Manny #Yorme",tl,[],[],[],3,0,0,"['leni', 'ping', 'bbm', 'manny', 'yorme']",[],https://twitter.com/missyjig_/status/1491046466710032388,False,,0,,,,,,,,[],,,,
1491034795270303748,1491034795270303748,2022-02-08 21:02:51 China Standard Time,2022-02-08,21:02:51,+0800,123160477,jocymic_08,josie javier T,,#IskoMorenoDomagoso #Yorme #MyPresident #GodFirst #BilisKilos  https://t.co/0Os7JfE3CL,und,[],[],['https://pbs.twimg.com/media/FLE4PdwaAAA9kqk.jpg'],0,0,0,"['iskomorenodomagoso', 'yorme', 'mypresident', 'godfirst', 'biliskilos']",[],https://twitter.com/jocymic_08/status/1491034795270303748,False,,1,https://pbs.twimg.com/media/FLE4PdwaAAA9kqk.jpg,,,,,,,[],,,,
1491017477547241472,1491017477547241472,2022-02-08 19:54:03 China Standard Time,2022-02-08,19:54:03,+0800,145657521,brainyoreo,oreo :P,,Maiba naman hahaha #Yorme,tl,[],[],[],0,0,0,['yorme'],[],https://twitter.com/brainyoreo/status/1491017477547241472,False,,0,,,,,,,,[],,,,
