date,username,tweet,hashtags,link
2/14/2022,bethtenecio,#BBMIsMyPresident2022 #BBMismypresident #BBMparasalahat  #SARAismyVP2022  #UniTeamMahalinNatin  #UniTeamBBMSARA,"['bbmismypresident2022', 'bbmismypresident', 'bbmparasalahat', 'saraismyvp2022', 'uniteammahalinnatin', 'uniteambbmsara']",https://twitter.com/bethtenecio/status/1493232957108019203
2/14/2022,solidbbm_7,#UniTeamBBMSARA  #BBMIsMyPresident,"['uniteambbmsara', 'bbmismypresident']",https://twitter.com/SolidBBM_7/status/1493162588460691459
2/14/2022,gel39472061,QC for BBM 😍 pero may mga nainggit nilangaw daw😅  #UniTeamBBMSARA  #GoBBM #BBMismypresident  https://t.co/nwpR64MWFL,"['uniteambbmsara', 'gobbm', 'bbmismypresident']",https://twitter.com/Gel39472061/status/1493139344411934721
2/14/2022,bethtenecio,Look at our future President 😍  #BBMismypresident,['bbmismypresident'],https://twitter.com/bethtenecio/status/1493131995387338752
2/14/2022,tigress0509,Ver Proud of Apo #BBMismypresident kse di pa sya nakaupo napapasunod na nya ang mga Presidentiables. Imagine! This is what we call FOLLOW THE LEADER! 🤣 Baka nga naman tumaas rating nila pag mag absent din! Imagine lagi absent pero nagna Number 1 pa! Ginaya tuloy! 🤣😛✌🏻❤️👊🏻💚🇵🇭  https://t.co/XJk32kx6VS,['bbmismypresident'],https://twitter.com/tigress0509/status/1493131042256871424
2/14/2022,mxnrck_07,We love you Mr. President @bongbongmarcos ❤✌🏽  #BBMismypresident  #BBMforPresident #BBM #UniTeamMahalinNatin  https://t.co/9ORGeDl1iO,"['bbmismypresident', 'bbmforpresident', 'bbm', 'uniteammahalinnatin']",https://twitter.com/mxnrck_07/status/1493126930056761348
2/14/2022,mamtesscd,"@MIGGY_0129 Di bale, nandyan PA naMan Yung IBang kandidato for president, it is their loss, not #BBMismypresident chance na Sana nilang ipakita Kung karapat dapat silang Iboto as president, baka Lang hindi Nila KayaNG harap in ang TotooNG karapat dapat na",['bbmismypresident'],https://twitter.com/MamTessCD/status/1493124586350649344
2/14/2022,tengtei,"Ang mga Kakampon, kakampwets hindi makaintindi ng kaibahan ng debate sa interview, sa forum..  Bugok talaga🤣🤣🤣🤣🤣  Cancel n natin lahat ng PINKS/YELLOWS  #BBMSARAH2022  #BBMismypresident  #Cancel/Block all negative pinks here..","['bbmsarah2022', 'bbmismypresident', 'cancel']",https://twitter.com/TengTei/status/1493116668624596996
2/14/2022,ellejay_78,"@KimIndar @lenirobredo First time nya kse nagkaroon ng ganyang crowd, si #BBM sobrang daming caravan na, na wayyyyyyy... larger dyan sa pinagmamalaki nya🤣  #BBMismypresident","['bbm', 'bbmismypresident']",https://twitter.com/Ellejay_78/status/1492905350294478853
2/14/2022,ellejay_78,@iamwhatiam30 ❤  #BBMismypresident,['bbmismypresident'],https://twitter.com/Ellejay_78/status/1492901624603308033
2/14/2022,ellejay_78,"@iamwhatiam30 Hindi po talaga marunong rumespeto ang mga bayaran.  Well, carry naman ni Sir #BBM so sorry nalang sila🤪  #BBMismypresident","['bbm', 'bbmismypresident']",https://twitter.com/Ellejay_78/status/1492898142471143426
2/13/2022,tetachua,Some clips from Batas Militar. Watch the full documentary at  https://t.co/KeR0unRQgx #BBM2022 #BBMSARA2022 #BBMismypresident #NeverForget #NeverAgain  https://t.co/AEeK18Rc0m,"['bbm2022', 'bbmsara2022', 'bbmismypresident', 'neverforget', 'neveragain']",https://twitter.com/TetaChua/status/1492861471826399233
2/13/2022,onlymekeethe,"Congratulations sir @bongbongmarcos! We will make sure to even soar higher and claim victory this May. We will continue praying for you, and mayor Sara. Mabuhay po! The Filipino deserves you. 👏👏👏 #BBMSARA2022 #BBMismypresident","['bbmsara2022', 'bbmismypresident']",https://twitter.com/onlymekeethe/status/1492858435247153157
2/13/2022,jozhuazy,Hindi na ba talaga pang babastos yung sisigawan mo yung isang tao ng magnanakaw ?  Basic Human rights daw yun public  speaking pero GMRC is waving.  #BBMSARA2022  #BBMismypresident,"['bbmsara2022', 'bbmismypresident']",https://twitter.com/JozhuaZy/status/1492851621868744708
2/13/2022,mxnrck_07,ang cute nilang tatlo❤💚  #BBMForPresident  #BBMismypresident  #BBM,"['bbmforpresident', 'bbmismypresident', 'bbm']",https://twitter.com/mxnrck_07/status/1492849736143220742
2/13/2022,ezykiel28,#BBMismypresident  #BBMSARA2022  #NagmamaLenis,"['bbmismypresident', 'bbmsara2022', 'nagmamalenis']",https://twitter.com/ezykiel28/status/1492845892461731843
2/13/2022,ezykiel28,#IbobotoKoSiBBM #BBMSARA2022  #BBMismypresident,"['ibobotokosibbm', 'bbmsara2022', 'bbmismypresident']",https://twitter.com/ezykiel28/status/1492845738811793410
2/13/2022,mielromero1,Kaylangan pa ba mgeleksyon ❤️✌🏻💚👊🏻 #BBMismypresident #saraalltheway #UNiTeamBBMSARA,"['bbmismypresident', 'saraalltheway', 'uniteambbmsara']",https://twitter.com/mielromero1/status/1492841180853194756
2/13/2022,rain_08207,Hahaha.. bat kau triggered. Bat kau galit kung naisama si James? Baka gusto nyo din sumama? Hahaha #kakampinks #BBMSARA2022 #BBMismypresident,"['kakampinks', 'bbmsara2022', 'bbmismypresident']",https://twitter.com/Rain_08207/status/1492835158021398528
2/13/2022,myfarm2022,@ricardocelebra1 ALWAYS BE THE FIRST SO WE’RE SO HAPPY ABOUT THAT MABUHAY.❤️💚#BBMIsMyPresident BBMSARA ✌️👊,['bbmismypresident'],https://twitter.com/myfarm2022/status/1492827858368012293
2/13/2022,myfarm2022,AFTER THE LATE FEM PRRD IS THE ONLY PRESIDENT WHO DEEPLY CARE AND LOVED THE FILIPINOS AND THE NATION. AWESOME WE’LL NOT FORGET YOU  WE’LL ALWAYS REMEMBER YOU FOREVER. GOD BLESS YOU ALWAYS PRRD. 😂👍👏MABUHAY ❤️💚#BBMIsMyPresident BBMSARA ✌️👊,['bbmismypresident'],https://twitter.com/myfarm2022/status/1492826924887916546
2/13/2022,themichinyeoja,Aerial shot at the background. Ganon dapat ang attendance para maging winner. #LabanLeni2022  #BBMIsMyPresident  #orasnamarcosna  #UniteamBBMSara2022  #BBMForPresident,"['labanleni2022', 'bbmismypresident', 'orasnamarcosna', 'uniteambbmsara2022', 'bbmforpresident']",https://twitter.com/TheMichinYeoja/status/1492826870269632516
2/13/2022,themichinyeoja,More or less 7k attendees lang yung Pink Taliban parade of losers knina sa QC. According sa PNP. HAHAHAHAHA!!!  Plus bagsak na naman sa sunod sunod na survey. #Olats kaya #LabanLeni2022 bwahahahaha...  #BBMIsMyPresident #OrasNaMarcosNa  #UniteamBBMSara2022,"['olats', 'labanleni2022', 'bbmismypresident', 'orasnamarcosna', 'uniteambbmsara2022']",https://twitter.com/TheMichinYeoja/status/1492826260807958528
2/13/2022,itsme_cols,Kitang kita kung sino ang gusto ng tao.   Pulse Asia #BBMSARA2022  #BBMismypresident,"['bbmsara2022', 'bbmismypresident']",https://twitter.com/itsme_cols/status/1492826111738548224
2/13/2022,myfarm2022,Ha ha ha mga Penks hindi napigilan Napa sigaw at tumatalon ng BBM haiiiii buhay nga naman oo god bless you all guys. Stay safe always. Mabuhay❤️💚#BBMIsMyPresident BBMSARA ✌️👊,['bbmismypresident'],https://twitter.com/myfarm2022/status/1492825043100844033
2/13/2022,molavefinds,@KimIndar @bongbongmarcos This is how we can portray #FakeVP   Leni's latest #PulseAsia survey number dropping 4% more vs her rivals. She's making out as if her poll number isn't consistent w/ her dumb insistence that she can dislodge #BBMismypresident mi,"['fakevp', 'pulseasia', 'bbmismypresident']",https://twitter.com/molavefinds/status/1492823297247293441
2/13/2022,dobolz1629,Lumaki ako na ang alam sa Edsa Revolution ay pinatay ang bayani DAW na si Ninoy! Nahubog ako ng textbook sa Galit at poot sa mga Marcos!.. Bbm sampu ng aking pamilya sisiguruhin kong mananalo ka!..  #BBMismypresident,['bbmismypresident'],https://twitter.com/DobolZ1629/status/1492822964013731841
