date,username,tweet,hashtags,link
2/15/2022,soundcheckmnl,"""Ang laway ko nasasangla""  #IskoMoreno @IskoMoreno   keeps his promises!  He's done that for Manila, he can do that for the entire nation! #KayIskoPosible promise! kaya #SwitchToIsko and vote for #Yorme 💙💙💙💙  https://t.co/ipZRLQO5ff","['iskomoreno', 'kayiskoposible', 'switchtoisko', 'yorme']",https://twitter.com/SoundCheckMNL/status/1493578906401591299
2/14/2022,senseknockr3435,#IskoMoreno #yorme #switchtoisko,"['iskomoreno', 'yorme', 'switchtoisko']",https://twitter.com/senseknockr3435/status/1493126329016864768
2/12/2022,yennyennmp,Okkkk. Thank you Yorme. Mas deserving ka talaga sa 2nd place. ☝🏻  #Yorme #2ndPlace #Halalan2022  https://t.co/ya0Iw5LqNj,"['yorme', '2ndplace', 'halalan2022']",https://twitter.com/yennyennmp/status/1492181485654183938
2/11/2022,soundcheckmnl,"Habang lahat nagkakagulo at nag aaway away online, nagbibigay si #Yorme @IskoMoreno ng 700,000 food boxes sa Maynila! 'Yan ang leader! #KayIskoPosible #SwitchToIsko #BilisKilos #IskoMoreno  https://t.co/CYopoKlF4H","['yorme', 'kayiskoposible', 'switchtoisko', 'biliskilos', 'iskomoreno']",https://twitter.com/SoundCheckMNL/status/1492014822510428163
2/10/2022,slayerngjupal,"May na boost na old post about sa gambling days ni Iskoba, nakaka aliw ang comments section. Sana naitanong din ni Mareng Jessica ito bukod sa 50M subi ni Iskopal #Yorme #IskoMoreno   https://t.co/sTe9StlB7F  https://t.co/a3zIuZhvo4","['yorme', 'iskomoreno']",https://twitter.com/SlayerNgJupal/status/1491755183785005065
2/10/2022,pinoytrendph,"Angelica Panganiban, nasaktan pala nang tawagin siyang 'Hugot Queen'?  https://t.co/ZKS8OjlZdx #MarcosDuwag  #MarcosNumber1Sinungaling  #LeniTangaSaLahat  #YORME #LetLeniLead #Trending #TrendingNow","['marcosduwag', 'marcosnumber1sinungaling', 'lenitangasalahat', 'yorme', 'letlenilead', 'trending', 'trendingnow']",https://twitter.com/PINOYTRENDPH/status/1491739567074181123
2/10/2022,beausoul,Ang turon bow!! ...Ayaw mo ha...ayan binato ka ng turon ...arte mo eh #yorme @IskoMoreno.. https://t.co/YLKkRJ9dAo,['yorme'],https://twitter.com/BeauSoul/status/1491702067580530688
2/9/2022,apolakay15,#Yorme,['yorme'],https://twitter.com/APOLAKAY15/status/1491416817000411136
2/9/2022,andreus73336134,What happened to #GodFirst #yorme?,"['godfirst', 'yorme']",https://twitter.com/Andreus73336134/status/1491393744347987972
2/9/2022,byxbuzz,YORME!!! @IskoMoreno #IskoMoreno #Yorme  https://t.co/CelxopxLWK,"['iskomoreno', 'yorme']",https://twitter.com/byxbuzz/status/1491087039139254274
2/9/2022,jacquelinemegan,"Future President of the Philippines #Yorme #IskoMoreno @IskoMoreno looking very young and fresh and hip at the proclamation rallly kanina.  This man has the heart, the wisdom,  has proven he can do things BIG THINGS quickly and effectively!!!  #KayIskoPosible #SwitchToIsko  https://t.co/G7DyMr8wxh","['yorme', 'iskomoreno', 'kayiskoposible', 'switchtoisko']",https://twitter.com/jacquelinemegan/status/1491085577407516675
2/8/2022,missyjig_,"Hindi ba pwede yung kung sino manalo na President, magtulong-tulong nalang kayo, huh? Isa lang naman goal nyo dba, ""para sa bansa"" daw. Umayos kayo! #Leni #Ping #BBM #Manny #Yorme","['leni', 'ping', 'bbm', 'manny', 'yorme']",https://twitter.com/missyjig_/status/1491046466710032388
2/8/2022,jocymic_08,#IskoMorenoDomagoso #Yorme #MyPresident #GodFirst #BilisKilos  https://t.co/0Os7JfE3CL,"['iskomorenodomagoso', 'yorme', 'mypresident', 'godfirst', 'biliskilos']",https://twitter.com/jocymic_08/status/1491034795270303748
2/8/2022,brainyoreo,Maiba naman hahaha #Yorme,['yorme'],https://twitter.com/brainyoreo/status/1491017477547241472
2/8/2022,opinyonnews,"Arroceros Urban Forest Park : Is now open after months of work.  “Masaya po ako na kahit paano ay naisalba po natin ang Arroceros Park,”  - Yorme   READ MORE:  https://t.co/7GQtuQc7ir   #yorme #iskomoreno #arrocerosurbanpark #manila","['yorme', 'iskomoreno', 'arrocerosurbanpark', 'manila']",https://twitter.com/OpinYonNews/status/1491004790499057664
2/16/2022,premo_zen,Grind - eat - sleep - repeat Btw good morning  #isko #AxieInfinity #NFTs,"['isko', 'axieinfinity', 'nfts']",https://twitter.com/Premo_zen/status/1493725907466395648
2/16/2022,ritchiemarmol,"May sagot na dito si #Isko di pa sya natatanong.... ang sagot, AFP Chief should be Navy",['isko'],https://twitter.com/ritchiemarmol/status/1493623930862850049
2/15/2022,premo_zen,"It's so cold🥶🌨️, but still grinding  Alright #isko #AxieScholarship","['isko', 'axiescholarship']",https://twitter.com/Premo_zen/status/1493581270797848579
2/15/2022,alias_dabe,SMNI presidential debate crowd sound effect ay galing ba sa YouTube? Hahaha in fairness so far halos magkakalevel ang sagot nilang apat 🤣 #SMNIpresidentialdebate #isko #leni #lacson #bbm,"['smnipresidentialdebate', 'isko', 'leni', 'lacson', 'bbm']",https://twitter.com/alias_dabe/status/1493560511426101248
2/15/2022,qwtttrt,I’m willing to vote #LeniforPresident2022 only if she’ll say that she CONDEMNS CPP-NPA-NDF. Same with #Isko. Change my mind. #Election2022 #Eleksyon2022 #BBMIsMyPresident2022,"['leniforpresident2022', 'isko', 'election2022', 'eleksyon2022', 'bbmismypresident2022']",https://twitter.com/qwtttrt/status/1493525573083095044
2/15/2022,not_voting_2022,"#2022Elections Lackluster Lineup 😂  #Leni - Puppet #Isko - A ""Fake it till you make it guy"" #Ping - Wolf in sheep's clothing #BBM - Questionable  #Pacquiao - Lack of knowledge","['2022elections', 'leni', 'isko', 'ping', 'bbm', 'pacquiao']",https://twitter.com/not_voting_2022/status/1493479363844919296
2/15/2022,ayasthetic_,"one of my professors mentioned during class na 5mos na silang hindi sumasahod kasi bumili ng generator si isko para i-donate. Nice one isko, God's first. ☝️#ISKO #DuterteLite #LeniAngatSaLahat #KulayRosaAngBukas","['isko', 'dutertelite', 'leniangatsalahat', 'kulayrosaangbukas']",https://twitter.com/AYASTHETIC_/status/1493470297466408966
2/15/2022,kujiversa,@PinoyAkoBlog Camp ni leni gusto rin ng mfa tanong na yan.para mapag.aralan.alam natin dba gano ka lutang si mamang.  #isko,['isko'],https://twitter.com/kujiversa/status/1493463879044644864
2/15/2022,frankdraw2,AAYUSIN NATIN ANG GOBYERNO! SABI NUNG MATAGAL NANG NAKAUPO NA WALA NAMAN NAGAWA PARA MAAYOS ANG GOBYERNO! #Kakampink #BBMForPresident #Isko #Manny,"['kakampink', 'bbmforpresident', 'isko', 'manny']",https://twitter.com/FrankDraw2/status/1493404762968002561
2/15/2022,amiel_roldan,"It’s pretty clear by now who are pro-NPA candidates. Tunay na plano nila is to go soft on NPA terrorist rather than going on what PRRD have been doing these past years. #LENIDUWAG #ISKO #PACQUIAO Isa sa panelist si prof Clarita Carlos sa SMNI  @okadamanila 7pm Feb. 15, 2022  https://t.co/QFmGbrL723","['leniduwag', 'isko', 'pacquiao']",https://twitter.com/amiel_roldan/status/1493373676053426178
2/15/2022,allgoodvibe,Kung si Bongbong Marcos eh hindi Marcos iboboto nyo ba sya base lamang sa track record nya? #BBM #LACSON #PACQUIAO #LENI #ISKO,"['bbm', 'lacson', 'pacquiao', 'leni', 'isko']",https://twitter.com/allgoodvibe/status/1493280439490215938
2/14/2022,kyrah_zeke,PARA SA LEGIT NA BOBOTO LANG PLEASE DO NOT VOTE IF HINDI KA BOTANTE OR HINDI DIN MAKAKABOTO... WHO IS YOUR PRESIDENT? #LENIDUWAG #BaBackoutMuli #ISKO #pinglacson #KaLeody @lenirobredo @bongbongmarcos @IskoMoreno @iampinglacson,"['leniduwag', 'babackoutmuli', 'isko', 'pinglacson', 'kaleody']",https://twitter.com/kyrah_zeke/status/1493243372147920899
2/14/2022,jenkers_en,#Isko camp optimistic survey numbers will improve  https://t.co/3tAr5cjcJm  https://t.co/mZnizvkO3f,['isko'],https://twitter.com/jenkers_en/status/1493148584589598726
2/14/2022,premo_zen,Happy ♥️day yahoo! To all my crypto friends  Love a lots  #isko #AxieInfinity,"['isko', 'axieinfinity']",https://twitter.com/Premo_zen/status/1492971278541606913
2/14/2022,chenezegurl,#IskoMoreno #isko #GodFirst Vote @IskoMoreno for President 🙏  https://t.co/5qQdtrsdMs,"['iskomoreno', 'isko', 'godfirst']",https://twitter.com/chEnEzEgUrL/status/1492900138557349900
2/14/2022,francomoje,"Pero di matatapos ang laban ni #Leni if ever mapabagsak nila si #BBM, because #Isko could easily get the admin's endorsement and the people's votes. This is also supported by the surveys din, if ever mawala sa equation si BBM.","['leni', 'bbm', 'isko']",https://twitter.com/francomoje/status/1492897809217261568
2/14/2022,chenezegurl,#IskoMoreno #isko #Iskoforpresident #BilangPilipino2022 #GodFirst Wake up my fellow countrymen!!! Please vote rightly 🙏❤  https://t.co/YzByP0E9Jl,"['iskomoreno', 'isko', 'iskoforpresident', 'bilangpilipino2022', 'godfirst']",https://twitter.com/chEnEzEgUrL/status/1492895259558350851
2/13/2022,mike_alcan_tara,"@JonathanAndal_ @gmanews Iiral naman ang mga righteous na mga kakampinks…. Akala mo ang lilinis, pero nagcacampaign para mag-cancel ng mga tao! Tigilin nyo pagmamalinis at baka makakakuha pa kayu ng added supporters. Dame nyo drama na kesyo ganyan kesyo",['isko'],https://twitter.com/mike_alcan_tara/status/1492883499850018816
2/11/2022,canalvsan12,"@PhilstarNews Sa Pinas pa???!!!?? No surprises there. This is a country where majority of the voters are bobotantes. Dahil sikat, dahil magaling mag-english, dahil kapangalan ng diktador dati at Thank you sa You Tube University, ang BBM niyo mananalo. Kaw",['iskoako'],https://twitter.com/canalvsan12/status/1491958891319418880
2/9/2022,swtrupnay,God first #Iskoako,['iskoako'],https://twitter.com/SwTruPnay/status/1491412055580360710
2/16/2022,linglingabe,Pag ganito Ang reception ng tao Kay #YormeIsko. No need to withdraw.ang dapat magwithdraw ay yung #Paghihiganti Ang dahilan sa pagtakbo. #IskoMoreno2022  https://t.co/sx1P5QBFE9,"['yormeisko', 'paghihiganti', 'iskomoreno2022']",https://twitter.com/LinglingAbe/status/1493732677098217477
2/15/2022,linglingabe,Mainit na tinanggap Ang #BilisKilos team in Catarman  Northern Samar. #KayIskoPosible #YormeIsko. #iskomoreno #Halalan2022  https://t.co/gwP88JnXjL,"['biliskilos', 'kayiskoposible', 'yormeisko', 'iskomoreno', 'halalan2022']",https://twitter.com/LinglingAbe/status/1493509282578321410
2/15/2022,linglingabe,#YormeIsko at Allen Northern Samar...#KayIskoPosible #KayIskoDocWilliePosible  https://t.co/avMNA0DUMP,"['yormeisko', 'kayiskoposible', 'kayiskodocwillieposible']",https://twitter.com/LinglingAbe/status/1493406244719439875
2/15/2022,linglingabe,Welcome o Lavazares Samar #YormeIsko. #KayIskoPosiblen  https://t.co/6oSxfPBbZm,"['yormeisko', 'kayiskoposiblen']",https://twitter.com/LinglingAbe/status/1493392469194842114
2/15/2022,linglingabe,@ANCALERTS Hindi na ho bago Yan Kay #YormeIsko.100m na pinagmodelan niya Hindi bulsa niya nakinabang...ilang tao Ang nakinabang nun.simple lang #BilisKilos dapat Ang leader. Sa panahon ng Krisis di salita Ang gagawa.,"['yormeisko', 'biliskilos']",https://twitter.com/LinglingAbe/status/1493348405414084608
2/15/2022,linglingabe,Ito Ang legit. Transparent and Angat Buhay. #kayiskoposible #KayIskoDocWilliePosible #YormeIsko #BughawAngMangingibabaw,"['kayiskoposible', 'kayiskodocwillieposible', 'yormeisko', 'bughawangmangingibabaw']",https://twitter.com/LinglingAbe/status/1493346923897835522
2/14/2022,linglingabe,Dinumog Ang motorcade ni #YormeIsko,['yormeisko'],https://twitter.com/LinglingAbe/status/1493197859608358913
2/14/2022,linglingabe,Yan ba Ang Hindi Kilala?. Understimated niyo Kasi SI #IskoMoreno #YormeIsko #Halala 2022 #KayIskoDocWilliePosible  https://t.co/Ixsm54K23w,"['iskomoreno', 'yormeisko', 'halala', 'kayiskodocwillieposible']",https://twitter.com/LinglingAbe/status/1493186243844141061
2/14/2022,linglingabe,"Ang totoong caravan, #BilisKilos team in #SAmar #YormeIsko #halalan2022  https://t.co/mrqr9ql7S1","['biliskilos', 'samar', 'yormeisko', 'halalan2022']",https://twitter.com/LinglingAbe/status/1493113899821912065
2/14/2022,linglingabe,Ang tunay na caravan.walang bayad kasi kanya kanyang kulay ng suot. #YormeIsko #halalan2022  https://t.co/witGBnXUiM,"['yormeisko', 'halalan2022']",https://twitter.com/LinglingAbe/status/1493062338840186881
2/14/2022,linglingabe,"Cah assistance sa mga fire victims ni #YormeIsko ay Hindi na bago,in fact naging policy na niya sa Maynila Yan,example Jan Ang #Basecommunity. #KayIskoPosible #halalan2022 #IbotoAngTamangKandidato  https://t.co/2Ptkup7ury","['yormeisko', 'basecommunity', 'kayiskoposible', 'halalan2022', 'ibotoangtamangkandidato']",https://twitter.com/LinglingAbe/status/1492994885535682561
2/14/2022,linglingabe,Thank you Miss Vivian Velez and your team for supporting #IskoMoreno. Di Po kayo mahihiya na SI #YormeIsko Ang sinuportahab niyo.#BilisKilos #Halalan2022  https://t.co/rqRKoOYw7a,"['iskomoreno', 'yormeisko', 'biliskilos', 'halalan2022']",https://twitter.com/LinglingAbe/status/1492991770992406530
2/14/2022,linglingabe,#IskoMoreno in Cavite fire victims #BilisKilos in time of crisis. #YormeIsko talaga Ang may #TunaynaSolusyon at #MabilisUmaksyon.   https://t.co/i7jYdEwlGX,"['iskomoreno', 'biliskilos', 'yormeisko', 'tunaynasolusyon', 'mabilisumaksyon']",https://twitter.com/LinglingAbe/status/1492983459144372225
2/14/2022,linglingabe,Thank you Pasay. #YormeIsko rock Pasay. Legit supporter. Walang bayad. #KayIskoPosible #Halalan2022 #IskoMoreno tunay na #MakaMasa,"['yormeisko', 'kayiskoposible', 'halalan2022', 'iskomoreno', 'makamasa']",https://twitter.com/LinglingAbe/status/1492938885252653056
2/14/2022,linglingabe,"#KayIskoPosible talaga. Ang future na pagawaing bayan.Hindi ? Mema,pure dekalidad under #YormeIsko. #Halalan2022","['kayiskoposible', 'yormeisko', 'halalan2022']",https://twitter.com/LinglingAbe/status/1492938498508488706
2/13/2022,linglingabe,#IskoDocWillie2022 in Pasay. #YormeIsko #KayIskoDocWillie2022 Taas Noo kahit kanino.   https://t.co/RIFaAbcbjW,"['iskodocwillie2022', 'yormeisko', 'kayiskodocwillie2022']",https://twitter.com/LinglingAbe/status/1492733549493243904
2/13/2022,linglingabe,Team #BilisKilos in Pasay. Sulong #YormeIsko. #Halalan2022. #KayIskoDocWilliePosible  https://t.co/MEyeJGr73b,"['biliskilos', 'yormeisko', 'halalan2022', 'kayiskodocwillieposible']",https://twitter.com/LinglingAbe/status/1492731662119145476
