date,username,tweet,hashtags,link
2/22/2022,boostjockster,"#UFC's Dana White @SHOBoxing ""Bob Arum FIXED Bradley Fight to Stall #Pacquiao vs #Mayweather"" -  https://t.co/eSt0xhwmDY","['ufc', 'pacquiao', 'mayweather']",https://twitter.com/boostjockster/status/1495869833338142723
2/22/2022,evoluamente,#Pacquiao #BruceLee #Silva and other #NFL #NBA superstar #NFT's waiting for you !,"['pacquiao', 'brucelee', 'silva', 'nfl', 'nba', 'nft']",https://twitter.com/Evoluamente/status/1495811616205688837
2/21/2022,pacquiaomichael,"‼️ UPDATE ‼️  ~ DURATION ~  START: February 25, 2022 (7:13 am)  END: March 27, 2022 (7:13 am)  STARTING PRICE: $10,000 in ETH   After the duration, this will be sold to the highest bidder ‼️👀🔥 Goodluck!  #Giveaways #NFT #ETH #fighterofthedecade #pacquiao #Crypto #Blockchain  https://t.co/uSSoGvxhhJ","['giveaways', 'nft', 'eth', 'fighterofthedecade', 'pacquiao', 'crypto', 'blockchain']",https://twitter.com/PacquiaoMichael/status/1495738379606052865
2/21/2022,ifmdagupannews,Sino ba sa tingin mo Idol ang dapat mamayagpag sa May 9 Halalan 2022? Sino ba sa kanila ang karapat-dapat na manalo? #Halalan2022 #Pacquiao #Marcos #Robredo #Lacson #DeGuzman #Moreno #ifmdagupan  https://t.co/gMpoaJke6R,"['halalan2022', 'pacquiao', 'marcos', 'robredo', 'lacson', 'deguzman', 'moreno', 'ifmdagupan']",https://twitter.com/ifmdagupanNEWS/status/1495549380560310272
2/20/2022,globallawmedia,"Like, share, and follow @globallawmedia for more legal education   #manny #pacquiao #success #motivation #optimistic #boxing #boxer  https://t.co/AS28UjKGC9","['manny', 'pacquiao', 'success', 'motivation', 'optimistic', 'boxing', 'boxer']",https://twitter.com/globallawmedia/status/1495413308173684736
2/20/2022,imharvieamerol,who do you want to be president in the coming election 2022? #Halalan2022 #Elections2022 #BBM #LeniRobredo #IskoMoreno #Pacquiao #President #BilangPilipino2022 #PHVote,"['halalan2022', 'elections2022', 'bbm', 'lenirobredo', 'iskomoreno', 'pacquiao', 'president', 'bilangpilipino2022', 'phvote']",https://twitter.com/imharvieamerol/status/1495217115678208002
2/19/2022,boostjockster,"#UFC's Dana White @SHOBoxing ""Bob Arum FIXED Bradley Fight to Stall #Pacquiao vs #Mayweather"" -  https://t.co/eSt0xheLfo","['ufc', 'pacquiao', 'mayweather']",https://twitter.com/boostjockster/status/1494782720450330626
2/18/2022,toughlove48,"This is why I'm against ""Build Back Better"" Leni Robredo.  The Great Reset 's puppet candidate will bring THIS to our doorstep too. Wake up Filipinos!  #CanadaHasFallen #Halalan2022  #BBM #IskoMoreno #Ping #Pacquiao @bongbongmarcos @iampinglacson @MannyPacquiao @IskoMoreno","['canadahasfallen', 'halalan2022', 'bbm', 'iskomoreno', 'ping', 'pacquiao']",https://twitter.com/toughlove48/status/1494675517135470595
2/18/2022,gdjjbkgdhk,パッキャオラストマッチがWOWOWで見られるのは2/20までだよ  #WOWOW  #Pacquiao,"['wowow', 'pacquiao']",https://twitter.com/gdjjbkgdhk/status/1494630805368639491
2/18/2022,boxing_habit,That's right😎 Mayweather &gt; Pacquiao #Mayweather #pacquiao  https://t.co/LPoFQtSgjP,"['mayweather', 'pacquiao']",https://twitter.com/boxing_habit/status/1494538381845356545
2/18/2022,looptify,"What's in your Pacquiao Collection?  LEGACY &amp; GOD'S WARRIOR TEES  are available at  https://t.co/BUu5vCp42A   #PacquaioLegacy #pacquiaoforpresident #PACQUIAO #beapartofthelegacy @ Los Angeles, California  https://t.co/w3zr42QvoR","['pacquaiolegacy', 'pacquiaoforpresident', 'pacquiao', 'beapartofthelegacy']",https://twitter.com/looptify/status/1494399341141757957
2/17/2022,ismaeelrn,"#Philippines boxing icon, presidential candidate Manny #Pacquiao says he will welcome an international probe into President Rodrigo Duterte's war on drugs if elected, and promised to fight narcotics ""the right way"", with due process, not street shootings.   https://t.co/sqsWFGGSbE","['philippines', 'pacquiao']",https://twitter.com/ismaeelrn/status/1494211569860980737
2/22/2022,cardinalhayes,Happy Presidents’ Day from Cardinal Hayes High school. #UpHayes #ForGodAndCountry  https://t.co/xDfudAZnik,"['uphayes', 'forgodandcountry']",https://twitter.com/CardinalHayes/status/1495803298070384649
2/21/2022,chaplaingary1,"This week's #MondayMinistryMinute contains proof that my ""quiver is full"" as I spend the day with the family.  Enjoy your holiday. #ChaplainLife #Psalms #FindingBalance #AlabamaNG #ForGodAndCountry  https://t.co/24SFf5xRTE","['mondayministryminute', 'chaplainlife', 'psalms', 'findingbalance', 'alabamang', 'forgodandcountry']",https://twitter.com/ChaplainGary1/status/1495779179920609283
2/21/2022,armychaplains,"This #PresidentsDay, pray for our country, pray for our leaders, and pray for our Chaplain Corps that we may continue to deliver like-kind ministries as this chaplain did with Washington at Valley Forge.  #ForGodandCountry | #LiveTheCall | #ArmyChaplainCorps  https://t.co/oVhUB8FxZW","['presidentsday', 'forgodandcountry', 'livethecall', 'armychaplaincorps']",https://twitter.com/ArmyChaplains/status/1495714930821058563
2/21/2022,mumbashungu,#ForGodAndCountry,['forgodandcountry'],https://twitter.com/MumbaShungu/status/1495651378387197953
2/21/2022,benjaminakakpo3,Welcome to #Monday on the #AMShow. We bring you #TheMostCompellingConversations. Why miss out? Join us - #ForGodAndCountry!💪🏾🇬🇭🙌🏾  #JoyNews #AMShow  https://t.co/oIT9ni1MOa,"['monday', 'amshow', 'themostcompellingconversations', 'forgodandcountry', 'joynews', 'amshow']",https://twitter.com/BenjaminAkakpo3/status/1495640907361787905
2/21/2022,thelightinthis1,Not-So Christian Karen #ForGodAndCountry #Christian #Jesus #Bible #abortionban #Abortion  https://t.co/J78hpbmENE via @YouTube @shouting4God @RayComfort @ChristianExodu1,"['forgodandcountry', 'christian', 'jesus', 'bible', 'abortionban', 'abortion']",https://twitter.com/TheLightInThis1/status/1495611654473662471
