"","date","username","tweet","hashtags","link"
"1","2/14/2022","bethtenecio","        ","['bbmismypresident2022', 'bbmismypresident', 'bbmparasalahat', 'saraismyvp2022', 'uniteammahalinnatin', 'uniteambbmsara']","https://twitter.com/bethtenecio/status/1493232957108019203"
"2","2/14/2022","solidbbm_7","  ","['uniteambbmsara', 'bbmismypresident']","https://twitter.com/SolidBBM_7/status/1493162588460691459"
"3","2/14/2022","gel39472061","qc for bbm <U+0001F60D> pero may mga nainggit nilangaw daw<U+0001F605>      ","['uniteambbmsara', 'gobbm', 'bbmismypresident']","https://twitter.com/Gel39472061/status/1493139344411934721"
"4","2/14/2022","bethtenecio","look at our future president <U+0001F60D>  ","['bbmismypresident']","https://twitter.com/bethtenecio/status/1493131995387338752"
"5","2/14/2022","tigress0509","ver proud of apo  kse di pa sya nakaupo napapasunod na nya ang mga presidentiables imagine this is what we call follow the leader <U+0001F923> baka nga naman tumaas rating nila pag mag absent din imagine lagi absent pero nagna number 1 pa ginaya tuloy <U+0001F923><U+0001F61B><U+270C><U+0001F3FB><U+2764><U+FE0F><U+0001F44A><U+0001F3FB><U+0001F49A><U+0001F1F5><U+0001F1ED> ","['bbmismypresident']","https://twitter.com/tigress0509/status/1493131042256871424"
"6","2/14/2022","mxnrck_07","we love you mr president  <U+2764><U+270C><U+0001F3FD>       ","['bbmismypresident', 'bbmforpresident', 'bbm', 'uniteammahalinnatin']","https://twitter.com/mxnrck_07/status/1493126930056761348"
"7","2/14/2022","mamtesscd"," di bale nandyan pa naman yung ibang kandidato for president it is their loss not  chance na sana nilang ipakita kung karapat dapat silang iboto as president baka lang hindi nila kayang harap in ang totoong karapat dapat na","['bbmismypresident']","https://twitter.com/MamTessCD/status/1493124586350649344"
"8","2/14/2022","tengtei","ang mga kakampon kakampwets hindi makaintindi ng kaibahan ng debate sa interview sa forum  bugok talaga<U+0001F923><U+0001F923><U+0001F923><U+0001F923><U+0001F923>  cancel n natin lahat ng pinksyellows      block all negative pinks here","['bbmsarah2022', 'bbmismypresident', 'cancel']","https://twitter.com/TengTei/status/1493116668624596996"
"9","2/14/2022","ellejay_78","  first time nya kse nagkaroon ng ganyang crowd si  sobrang daming caravan na na wayyyyyyy larger dyan sa pinagmamalaki nya<U+0001F923>  ","['bbm', 'bbmismypresident']","https://twitter.com/Ellejay_78/status/1492905350294478853"
"10","2/14/2022","ellejay_78"," <U+2764>  ","['bbmismypresident']","https://twitter.com/Ellejay_78/status/1492901624603308033"
"11","2/14/2022","ellejay_78"," hindi po talaga marunong rumespeto ang mga bayaran  well carry naman ni sir  so sorry nalang sila<U+0001F92A>  ","['bbm', 'bbmismypresident']","https://twitter.com/Ellejay_78/status/1492898142471143426"
"12","2/13/2022","tetachua","some clips from batas militar watch the full documentary at ","['bbm2022', 'bbmsara2022', 'bbmismypresident', 'neverforget', 'neveragain']","https://twitter.com/TetaChua/status/1492861471826399233"
"13","2/13/2022","onlymekeethe","congratulations sir  we will make sure to even soar higher and claim victory this may we will continue praying for you and mayor sara mabuhay po the filipino deserves you <U+0001F44F><U+0001F44F><U+0001F44F>  ","['bbmsara2022', 'bbmismypresident']","https://twitter.com/onlymekeethe/status/1492858435247153157"
"14","2/13/2022","jozhuazy","hindi na ba talaga pang babastos yung sisigawan mo yung isang tao ng magnanakaw   basic human rights daw yun public  speaking pero gmrc is waving    ","['bbmsara2022', 'bbmismypresident']","https://twitter.com/JozhuaZy/status/1492851621868744708"
"15","2/13/2022","mxnrck_07","ang cute nilang tatlo<U+2764><U+0001F49A>      ","['bbmforpresident', 'bbmismypresident', 'bbm']","https://twitter.com/mxnrck_07/status/1492849736143220742"
"16","2/13/2022","ezykiel28","    ","['bbmismypresident', 'bbmsara2022', 'nagmamalenis']","https://twitter.com/ezykiel28/status/1492845892461731843"
"17","2/13/2022","ezykiel28","   ","['ibobotokosibbm', 'bbmsara2022', 'bbmismypresident']","https://twitter.com/ezykiel28/status/1492845738811793410"
"18","2/13/2022","mielromero1","kaylangan pa ba mgeleksyon <U+2764><U+FE0F><U+270C><U+0001F3FB><U+0001F49A><U+0001F44A><U+0001F3FB>   ","['bbmismypresident', 'saraalltheway', 'uniteambbmsara']","https://twitter.com/mielromero1/status/1492841180853194756"
"19","2/13/2022","rain_08207","hahaha bat kau triggered bat kau galit kung naisama si james baka gusto nyo din sumama hahaha   ","['kakampinks', 'bbmsara2022', 'bbmismypresident']","https://twitter.com/Rain_08207/status/1492835158021398528"
"20","2/13/2022","myfarm2022"," always be the first so were so happy about that mabuhay<U+2764><U+FE0F><U+0001F49A> bbmsara <U+270C><U+FE0F><U+0001F44A>","['bbmismypresident']","https://twitter.com/myfarm2022/status/1492827858368012293"
"21","2/13/2022","myfarm2022","after the late fem prrd is the only president who deeply care and loved the filipinos and the nation awesome well not forget you  well always remember you forever god bless you always prrd <U+0001F602><U+0001F44D><U+0001F44F>mabuhay <U+2764><U+FE0F><U+0001F49A> bbmsara <U+270C><U+FE0F><U+0001F44A>","['bbmismypresident']","https://twitter.com/myfarm2022/status/1492826924887916546"
"22","2/13/2022","themichinyeoja","aerial shot at the background ganon dapat ang attendance para maging winner         ","['labanleni2022', 'bbmismypresident', 'orasnamarcosna', 'uniteambbmsara2022', 'bbmforpresident']","https://twitter.com/TheMichinYeoja/status/1492826870269632516"
"23","2/13/2022","themichinyeoja","more or less 7k attendees lang yung pink taliban parade of losers knina sa qc according sa pnp hahahahaha  plus bagsak na naman sa sunod sunod na survey  kaya  bwahahahaha     ","['olats', 'labanleni2022', 'bbmismypresident', 'orasnamarcosna', 'uniteambbmsara2022']","https://twitter.com/TheMichinYeoja/status/1492826260807958528"
"24","2/13/2022","itsme_cols","kitang kita kung sino ang gusto ng tao   pulse asia   ","['bbmsara2022', 'bbmismypresident']","https://twitter.com/itsme_cols/status/1492826111738548224"
"25","2/13/2022","myfarm2022","ha ha ha mga penks hindi napigilan napa sigaw at tumatalon ng bbm haiiiii buhay nga naman oo god bless you all guys stay safe always mabuhay<U+2764><U+FE0F><U+0001F49A> bbmsara <U+270C><U+FE0F><U+0001F44A>","['bbmismypresident']","https://twitter.com/myfarm2022/status/1492825043100844033"
"26","2/13/2022","molavefinds","  this is how we can portray    lenis latest  survey number dropping 4 more vs her rivals shes making out as if her poll number isnt consistent w her dumb insistence that she can dislodge  mi","['fakevp', 'pulseasia', 'bbmismypresident']","https://twitter.com/molavefinds/status/1492823297247293441"
"27","2/13/2022","dobolz1629","lumaki ako na ang alam sa edsa revolution ay pinatay ang bayani daw na si ninoy nahubog ako ng textbook sa galit at poot sa mga marcos bbm sampu ng aking pamilya sisiguruhin kong mananalo ka  ","['bbmismypresident']","https://twitter.com/DobolZ1629/status/1492822964013731841"
"28","2/13/2022","myfarm2022","filipinos are so proud of you mr president and bbmsara will continue your build build build for the people and the nationmabuhay<U+2764><U+FE0F><U+0001F49A> bbmsara <U+270C><U+FE0F><U+0001F44A>","['bbmismypresident']","https://twitter.com/myfarm2022/status/1492822878403764227"
"29","2/13/2022","serendipityjk18","join us kauniteam   ","['bbmismypresident']","https://twitter.com/SerendipityJK18/status/1492821355838205953"
"30","2/13/2022","iamvincecastles","magbundok man tayo bbm pa rin tayo mt kupapey mountain province feb 13 2022    ","['bbmismypresident', 'bbmforpresident']","https://twitter.com/iamVinceCastles/status/1492800309269127168"
"31","2/13/2022","serendipityjk18","good day mga kauniteam we have twitter party tomorrow 10am   ","['bbmismypresident']","https://twitter.com/SerendipityJK18/status/1492799212777775105"
"32","2/13/2022","garcipm","  tama na sobra na never again  walang tulugan sa araw ng bilangan    ","['uniteambbmsara2022', 'bbmismypresident']","https://twitter.com/GarciPM/status/1492797373273174016"
"33","2/13/2022","sofrelle"," this is why ","['bbmismypresident']","https://twitter.com/sofrelle/status/1492793861495681026"
"34","2/13/2022","jerome_crandang","there was a crime but its not moral turpitude  agree ","['bbmismypresident']","https://twitter.com/jerome_crandang/status/1492728900430213121"
"35","2/13/2022","mannee"," sir bbm yung pag wagayway at pag abot nio  po sa flag ng pilipinas sobrang nakakatouch ramdam na ramdam ko pagmamahal nio sa aming mga pilipino at sa bansa natin<U+0001F1F5><U+0001F1ED><U+2764><U+FE0F>god bless you and all supporters of  we love yo","['uniteambbmsara', 'bbmismypresident']","https://twitter.com/mannee/status/1492709715205316615"
"36","2/13/2022","monlu1963","boboto na po ang kalabawwala na kasing taong boboto     ","['notolenikiko2022', 'bbmsara2022', 'bbmismypresident']","https://twitter.com/Monlu1963/status/1492552840132268033"
