"","date","username","tweet","hashtags","link"
"1","2/22/2022","boostjockster","s dana white  bob arum fixed bradley fight to stall  vs   ","['ufc', 'pacquiao', 'mayweather']","https://twitter.com/boostjockster/status/1495869833338142723"
"2","2/22/2022","evoluamente","   and other   superstar s waiting for you ","['pacquiao', 'brucelee', 'silva', 'nfl', 'nba', 'nft']","https://twitter.com/Evoluamente/status/1495811616205688837"
"3","2/21/2022","pacquiaomichael","<U+FE0F> update <U+FE0F>  ~ duration ~  start february 25 2022 713 am  end march 27 2022 713 am  starting price $10000 in eth   after the duration this will be sold to the highest bidder <U+FE0F><U+0001F440><U+0001F525> goodluck         ","['giveaways', 'nft', 'eth', 'fighterofthedecade', 'pacquiao', 'crypto', 'blockchain']","https://twitter.com/PacquiaoMichael/status/1495738379606052865"
"4","2/21/2022","ifmdagupannews","sino ba sa tingin mo idol ang dapat mamayagpag sa may 9 halalan 2022 sino ba sa kanila ang karapatdapat na manalo         ","['halalan2022', 'pacquiao', 'marcos', 'robredo', 'lacson', 'deguzman', 'moreno', 'ifmdagupan']","https://twitter.com/ifmdagupanNEWS/status/1495549380560310272"
"5","2/20/2022","globallawmedia","like share and follow  for more legal education          ","['manny', 'pacquiao', 'success', 'motivation', 'optimistic', 'boxing', 'boxer']","https://twitter.com/globallawmedia/status/1495413308173684736"
"6","2/20/2022","imharvieamerol","who do you want to be president in the coming election 2022         ","['halalan2022', 'elections2022', 'bbm', 'lenirobredo', 'iskomoreno', 'pacquiao', 'president', 'bilangpilipino2022', 'phvote']","https://twitter.com/imharvieamerol/status/1495217115678208002"
"7","2/19/2022","boostjockster","s dana white  bob arum fixed bradley fight to stall  vs   ","['ufc', 'pacquiao', 'mayweather']","https://twitter.com/boostjockster/status/1494782720450330626"
"8","2/18/2022","toughlove48","this is why im against build back better leni robredo  the great reset s puppet candidate will bring this to our doorstep too wake up filipinos            ","['canadahasfallen', 'halalan2022', 'bbm', 'iskomoreno', 'ping', 'pacquiao']","https://twitter.com/toughlove48/status/1494675517135470595"
"9","2/18/2022","gdjjbkgdhk","<U+30D1><U+30C3><U+30AD><U+30E3><U+30AA><U+30E9><U+30B9><U+30C8><U+30DE><U+30C3><U+30C1><U+304C>wowow<U+3067><U+898B><U+3089><U+308C><U+308B><U+306E><U+306F>220<U+307E><U+3067><U+3060><U+3088>    ","['wowow', 'pacquiao']","https://twitter.com/gdjjbkgdhk/status/1494630805368639491"
"10","2/18/2022","boxing_habit","thats right<U+0001F60E> mayweather gt pacquiao   ","['mayweather', 'pacquiao']","https://twitter.com/boxing_habit/status/1494538381845356545"
"11","2/18/2022","looptify","whats in your pacquiao collection  legacy amp gods warrior tees  are available at ","['pacquaiolegacy', 'pacquiaoforpresident', 'pacquiao', 'beapartofthelegacy']","https://twitter.com/looptify/status/1494399341141757957"
"12","2/17/2022","ismaeelrn"," boxing icon presidential candidate manny  says he will welcome an international probe into president rodrigo dutertes war on drugs if elected and promised to fight narcotics the right way with due process not street shootings  ","['philippines', 'pacquiao']","https://twitter.com/ismaeelrn/status/1494211569860980737"
"13","2/22/2022","cardinalhayes","happy presidents day from cardinal hayes high school   ","['uphayes', 'forgodandcountry']","https://twitter.com/CardinalHayes/status/1495803298070384649"
"14","2/21/2022","chaplaingary1","this weeks  contains proof that my quiver is full as i spend the day with the family  enjoy your holiday      ","['mondayministryminute', 'chaplainlife', 'psalms', 'findingbalance', 'alabamang', 'forgodandcountry']","https://twitter.com/ChaplainGary1/status/1495779179920609283"
"15","2/21/2022","armychaplains","this  pray for our country pray for our leaders and pray for our chaplain corps that we may continue to deliver likekind ministries as this chaplain did with washington at valley forge   |  |  ","['presidentsday', 'forgodandcountry', 'livethecall', 'armychaplaincorps']","https://twitter.com/ArmyChaplains/status/1495714930821058563"
"16","2/21/2022","mumbashungu","","['forgodandcountry']","https://twitter.com/MumbaShungu/status/1495651378387197953"
"17","2/21/2022","benjaminakakpo3","welcome to  on the  we bring you  why miss out join us  <U+0001F4AA><U+0001F3FE><U+0001F1EC><U+0001F1ED><U+0001F64C><U+0001F3FE>    ","['monday', 'amshow', 'themostcompellingconversations', 'forgodandcountry', 'joynews', 'amshow']","https://twitter.com/BenjaminAkakpo3/status/1495640907361787905"
"18","2/21/2022","thelightinthis1","notso christian karen       ","['forgodandcountry', 'christian', 'jesus', 'bible', 'abortionban', 'abortion']","https://twitter.com/TheLightInThis1/status/1495611654473662471"
"19","2/21/2022","justmelindakay","i will use my voice my means and my life fighting that the future of our grandchildren is an intact with freedom    ","['godsaveourland', 'americafirst', 'forgodandcountry']","https://twitter.com/JustMeLindaKay/status/1495564574204076034"
"20","2/21/2022","tobebote2","  im brave enough to stand on what i believed is right          ","['marcosmagnanakaw', 'familylove', 'forgodandcountry', 'allthebest', 'wevoteph', 'wedecideforleni2022', 'halalanph2022', 'votewisely', 'endpoliticaldynastiesph', 'notomarcosjrandsaraduterte2022', 'defenddemocracy']","https://twitter.com/ToBebotE2/status/1495494407742705668"
"21","2/28/2022","mpac_foundation","we accept cryptocurrency  donate today <U+0001F449> ","['pacquiaofoundation', 'mannypacquiao', 'mannyscorner']","https://twitter.com/MPac_Foundation/status/1498275792597491717"
"22","2/28/2022","ibanez_joson"," i love christian leader <U+0001F60D> i will go for ","['mannypacquiao']","https://twitter.com/ibanez_joson/status/1498270206137110529"
