,date,tweet
1,2/14/2022,qc for bbm
2,2/14/2022,look at our future president
3,2/14/2022,ver proud of apo kse di pa sya nakaupo napapasunod na nya ang mga presidentiables imagine this is what we call follow the leader
4,2/14/2022,we love you mr president
5,2/14/2022,di bale nandyan pa naman yung ibang kandidato for president it is their loss not chance na sana nilang ipakita kung karapat dapat silang iboto as president baka lang hindi nila kayang harap in ang totoong karapat dapat na
6,2/14/2022,ang mga kakampon kakampwets hindi makaintindi ng kaibahan ng debate sa interview sa forum bugok talaga cancel n natin lahat ng pinksyellows block all negative pinks here
7,2/14/2022,first time nya kse nagkaroon ng ganyang crowd si sobrang daming caravan na na wayyyyyyy larger dyan sa pinagmamalaki nya
8,2/14/2022,hindi po talaga marunong rumespeto ang mga bayaran well carry naman ni sir so sorry nalang sila
9,2/13/2022,some clips from batas militar watch the full documentary at
10,2/13/2022,congratulations sir we will make sure to even soar higher and claim victory this may we will continue praying for you and mayor sara mabuhay po the filipino deserves you
11,2/13/2022,hindi na ba talaga pang babastos yung sisigawan mo yung isang tao ng magnanakaw basic human rights daw yun public speaking pero gmrc is waving
12,2/13/2022,ang cute nilang tatlo
13,2/13/2022,kaylangan pa ba mgeleksyon
14,2/13/2022,hahaha bat kau triggered bat kau galit kung naisama si james baka gusto nyo din sumama hahaha
15,2/13/2022,always be the first so were so happy about that mabuhay
16,2/13/2022,after the late fem prrd is the only president who deeply care and loved the filipinos and the nation awesome well not forget you well always remember you forever god bless you always prrd
17,2/13/2022,aerial shot at the background ganon dapat ang attendance para maging winner
18,2/13/2022,more or less 7k attendees lang yung pink taliban parade of losers knina sa qc according sa pnp hahahahaha plus bagsak na naman sa sunod sunod na survey kaya bwahahahaha
19,2/13/2022,kitang kita kung sino ang gusto ng tao pulse asia
20,2/13/2022,ha ha ha mga penks hindi napigilan napa sigaw at tumatalon ng bbm haiiiii buhay nga naman oo god bless you all guys stay safe always mabuhay
21,2/13/2022,this is how we can portray lenis latest survey number dropping 4 more vs her rivals shes making out as if her poll number isnt consistent w her dumb insistence that she can dislodge mi
22,2/13/2022,lumaki ako na ang alam sa edsa revolution ay pinatay ang bayani daw na si ninoy nahubog ako ng textbook sa galit at poot sa mga marcos bbm sampu ng aking pamilya sisiguruhin kong mananalo ka
23,2/13/2022,filipinos are so proud of you mr president and bbmsara will continue your build build build for the people and the nationmabuhay
