date,username,tweet,hashtags,link
2/15/2022,thisismeddan12,Let's do a survey and see who's gonna win for President. #LetLeniLead #KulayRosasAngBukas #BBMIsMyPresident2022 #IskoMoreno #pinglacson #mannypacquiao #leody,"['letlenilead', 'kulayrosasangbukas', 'bbmismypresident2022', 'iskomoreno', 'pinglacson', 'mannypacquiao', 'leody']",https://twitter.com/thisismeddan12/status/1493295500476370947
2/14/2022,kyrah_zeke,PARA SA LEGIT NA BOBOTO LANG PLEASE DO NOT VOTE IF HINDI KA BOTANTE OR HINDI DIN MAKAKABOTO... WHO IS YOUR PRESIDENT? #LENIDUWAG #BaBackoutMuli #ISKO #pinglacson #KaLeody @lenirobredo @bongbongmarcos @IskoMoreno @iampinglacson,"['leniduwag', 'babackoutmuli', 'isko', 'pinglacson', 'kaleody']",https://twitter.com/kyrah_zeke/status/1493243372147920899
2/14/2022,ahmadbubong,#pinglacson #LacsonSottoTayo #remomanuela  https://t.co/q7L7zOt1Z4,"['pinglacson', 'lacsonsottotayo', 'remomanuela']",https://twitter.com/AhmadBubong/status/1493199100958810112
2/14/2022,pumtinkin,"kulay asul at puti ang simbolo ng tunay, tapat, at mapayapa na pamumuno 💙🤍  Kay @iampinglacson kami!   #pinglacson #PingLacson2022","['pinglacson', 'pinglacson2022']",https://twitter.com/pumtinkin/status/1493198068174315520
2/14/2022,realjoeymgdaily,"Hindi niyo na pwedeng laitin si BBM na hindi sumasali sa ""opposition"" debate kung yung mismong mga kandidato niyo nag no show sa kanilang ""opposition"" debate.  Magiging ipokrita kayo.  ¯\_(ツ)_/¯ #BBMSARA2022 #LeniAngatSaLahat #IskoMoreno #MannyPacquiao #pinglacson","['bbmsara2022', 'leniangatsalahat', 'iskomoreno', 'mannypacquiao', 'pinglacson']",https://twitter.com/realjoeymgdaily/status/1493195239271456770
2/14/2022,oshinsitter,"Mga pwedeng theme songs ni #PingLacson:  ""Never Gonna Give You Up"" by Rick Astley  ""I'm Never Gonna Give You Up"" by Cynthia Rhodes and Frank Stallone  ""Never Give Up"" by Sia 😁😁😁",['pinglacson'],https://twitter.com/OshinSitter/status/1493192912292646914
2/14/2022,mirrell_mnl,"Let’s make it simple, if a candidate skips an interview/debate=duwag. Based on this premise si Ka Leody pinakamatapang! (Not counted yung di paginvite sa kanya) Sino po ang PINAKADUWAG? Pakisagot po. #LeniforPresident2022 #BBMSARA #pinglacson #IskoMoreno #pacquiao","['leniforpresident2022', 'bbmsara', 'pinglacson', 'iskomoreno', 'pacquiao']",https://twitter.com/Mirrell_MNL/status/1493192755417260033
2/14/2022,rich_b77w,@iampinglacson Diretso sa NAKAW na naman.... Scam projects  ANG LALIM na ng PILIPINAS  ma TATALO na TAYO sa Kenya AFRICA.... 🤦🏻🤦🏻🤦🏻  We need a LEADER #pinglacson,['pinglacson'],https://twitter.com/rich_b77w/status/1493191543007547392
2/14/2022,uranti_social,Since araw ng mga puso ngayon… tatanongin kita… ANO ANG KULAY NG PUSO MO?   #BBMForPresident #LeniforPresident2022 #iskomoreno  #pinglacson  #MannyPacquiao,"['bbmforpresident', 'leniforpresident2022', 'iskomoreno', 'pinglacson', 'mannypacquiao']",https://twitter.com/UrAnti_Social/status/1493151618786754564
2/14/2022,mitch_digos,@ABSCBNNews Nalungkot ako para kay #pinglacson  pero sya pa rin sa 🧡 ko.,['pinglacson'],https://twitter.com/mitch_Digos/status/1493148124051025926
2/14/2022,pinglacson2022,"Maraming salamat po Mam sa pagsend nito sa amin! Tama po kayo, hindi popularity contest ang pagpili ng iboboto. Pinagiisipan po ito ng maige.... #pinglacson #lacsonsottotayo  https://t.co/FYByQtrmDI","['pinglacson', 'lacsonsottotayo']",https://twitter.com/PingLacson2022/status/1493121580125327362
2/14/2022,aizahayagan28,Duwag Lang ang Hindi dadalo SA SMNI Debate bukas. Asan na Yung MGA word of honor nyo?????????#LeniRobredo2022 #pinglacson #mannypacquiao #IskoMoreno,"['lenirobredo2022', 'pinglacson', 'mannypacquiao', 'iskomoreno']",https://twitter.com/aizahayagan28/status/1493115591539888129
2/14/2022,philnews247,"#PingLacson #TitoSotto Ping Lacson, Tito Sotto Turn Down SMNI Debates Due To This  https://t.co/Asywze8Y3i","['pinglacson', 'titosotto']",https://twitter.com/PhilNews247/status/1493114139598008324
2/14/2022,brontwynston,Ayaw ni @lenirobredo @MannyPacquiao #PingLacson Platform based debate. Gusto nila Martial law based discussion.   🤣😂🤣😂,['pinglacson'],https://twitter.com/BrontWynston/status/1493107215938506753
2/14/2022,sirjaysinag,"I am not actually for #Leni at #PingLacson talaga ang President ko. Pero, napakaliit ata ng chance n'ya. Pero kung PINK at BBM ang labanan, doon na ko sa aattend ng Debate.","['leni', 'pinglacson']",https://twitter.com/sirjaysinag/status/1493085236938555397
2/14/2022,janvoltz_,#MannyPacquiao #PingLacson #Undecided  https://t.co/1OeuaL5X61,"['mannypacquiao', 'pinglacson', 'undecided']",https://twitter.com/janvoltz_/status/1493073079420866569
2/14/2022,koreahana_,#Halalan2022  #LeniRobredo #BBM #IskoMoreno  #MannyPacquiao #PingLacson #KaLeody #Pilipinas,"['halalan2022', 'lenirobredo', 'bbm', 'iskomoreno', 'mannypacquiao', 'pinglacson', 'kaleody', 'pilipinas']",https://twitter.com/koreahana_/status/1493030362892881920
2/13/2022,fightonphils,"#JopetSison #MonsourDelRosario #PingLacson support restoration of #Divorce. Remove religion from the equation. If you can legally get married, you should legally get out of marriage. Plain &amp; simple. Act Now! #DivorcePilipinas #CNNPHSenatorialForum #Halalan2022 #PHVote","['jopetsison', 'monsourdelrosario', 'pinglacson', 'divorce', 'divorcepilipinas', 'cnnphsenatorialforum', 'halalan2022', 'phvote']",https://twitter.com/fightonphils/status/1492856064403980288
2/13/2022,ahmadbubong,#LanaodelSur #LanaodelNorte #PingLacson #MyPresident  https://t.co/xptgtvhdNM,"['lanaodelsur', 'lanaodelnorte', 'pinglacson', 'mypresident']",https://twitter.com/AhmadBubong/status/1492835676248997889
2/13/2022,ahmadbubong,#DraMinguitaPadilla #PingLacson  https://t.co/GFkosjFzil,"['draminguitapadilla', 'pinglacson']",https://twitter.com/AhmadBubong/status/1492796485259661315
2/13/2022,ahmadbubong,#MRA #PingLacson  #BraveMoversLanao  https://t.co/nuJSKzHqEJ,"['mra', 'pinglacson', 'bravemoverslanao']",https://twitter.com/AhmadBubong/status/1492796009298395136
2/13/2022,ahmadbubong,#PingLacson  #RemoManuel  https://t.co/mN9undlocg,"['pinglacson', 'remomanuel']",https://twitter.com/AhmadBubong/status/1492794990741028864
2/13/2022,ahmadbubong,#PingLacson #BraveMovers  https://t.co/CThWmTxNvH,"['pinglacson', 'bravemovers']",https://twitter.com/AhmadBubong/status/1492784342040719362
2/13/2022,ahmadbubong,Solid Supporter President Ping Lacson #PingLacson #LacsoSotto  https://t.co/R7ZnYO9KRe,"['pinglacson', 'lacsosotto']",https://twitter.com/AhmadBubong/status/1492783630414135296
2/13/2022,taegukmom,Not BTS related but yeah.. #PingLacson is my president 💙  https://t.co/q1Y3fsbZCW,['pinglacson'],https://twitter.com/taegukmom/status/1492694996272959489
2/13/2022,ferdznear,"#isiPINGmabuti ang kinabukasan.  Ang tama ipaglaban, ang mali labanan.   #AayusinAngGobyerno #AayusinAngBuhayNgPilipino #PingLacson2022 #PingLacson #Integridad  https://t.co/nX2bu4AKuk","['isipingmabuti', 'aayusinanggobyerno', 'aayusinangbuhayngpilipino', 'pinglacson2022', 'pinglacson', 'integridad']",https://twitter.com/Ferdznear/status/1492678139469709314
2/12/2022,archeratcampgg6,#LeniWalangAatrasan #PingLacson #MannyPacquiao #KaLeody #MarcosDuwagTalaga #marcosnotahero #Eleksyon2022 #Halalan2022 💗💗💗🇵🇭🇵🇭🇵🇭,"['leniwalangaatrasan', 'pinglacson', 'mannypacquiao', 'kaleody', 'marcosduwagtalaga', 'marcosnotahero', 'eleksyon2022', 'halalan2022']",https://twitter.com/ArcheratCampgg6/status/1492425944271028224
2/12/2022,alexandratabs,"Im tired of this Red,Yellow,Pink fights! Nakakasawa na mga bangayan nyo! NO to Marcos! NO to LENI! YES to PING LACSON! #NoToMarcosDuterte2022 #NoToLeniKiko2022 #PingLacson2022 #Ping17thPresident #PingLacson","['notomarcosduterte2022', 'notolenikiko2022', 'pinglacson2022', 'ping17thpresident', 'pinglacson']",https://twitter.com/alexandratabs/status/1492377528245579777
2/12/2022,aeoluszyxx,Not a KPop/SJ related but please respect  Hindi pa kami (family) nakaka decide kung sino ang dapat iboto sa May 8. Ano po ba ang mga plataporma ng mga kandidado sa pagka PANGULO??   Thank you! #LeniRobredo #BongBongMarcos #IskoMoreno #PingLacson #MannyPacquiao,"['lenirobredo', 'bongbongmarcos', 'iskomoreno', 'pinglacson', 'mannypacquiao']",https://twitter.com/AeolusZyxx/status/1492306911508967427
2/12/2022,reigraciaa,"What else could have been said? 💯Sana ma-realize nating lahat, mga kapwa-Filipino, Pilipinas!  #Isko #MannyPacquaio #BBM #PingLacson #Leni","['isko', 'mannypacquaio', 'bbm', 'pinglacson', 'leni']",https://twitter.com/reigraciaa/status/1492176698124619777
2/12/2022,katesbernardo,Mahihirapan kase silang pumorma pag nasa slate sila ni #pinglacson. Pano ka mangungurakot kung yung president mo gusto iayos ang government?,['pinglacson'],https://twitter.com/katesbernardo/status/1492174632815763461
2/11/2022,sharestea,Stop attacking people by their looks.  Stop canceling people by their choice.  Stop speaking ill to people by their beliefs.  #LeniRobredoForPresident #BBMForPresident #IskoMoreno #PingLacson #MannyPacquiao #KaLeody #Halalan2022,"['lenirobredoforpresident', 'bbmforpresident', 'iskomoreno', 'pinglacson', 'mannypacquiao', 'kaleody', 'halalan2022']",https://twitter.com/SharesTea/status/1491981810343247873
2/11/2022,crissandymark,Kung gaganapin ang eleksyon ngayon sinong kandidato sa pagkapangulo ang iboboto mo? #BBMForPresident  #10RobredoForPresident  #IskoMoreno  #PingLacson,"['bbmforpresident', '10robredoforpresident', 'iskomoreno', 'pinglacson']",https://twitter.com/crissandymark/status/1491973854117253120
2/15/2022,aesyeo_aeojeu,@EJSergio34 @iampinglacson #PingLacson2022 is the way to go! 🙌🏻🙌🏻🙌🏻,['pinglacson2022'],https://twitter.com/Aesyeo_Aeojeu/status/1493299417746911232
2/14/2022,ferdznear,#PingLacson2022 #AayusinAngGobyerno #AayusinAngBuhayNgPilipino  https://t.co/yNWlaEISOB,"['pinglacson2022', 'aayusinanggobyerno', 'aayusinangbuhayngpilipino']",https://twitter.com/Ferdznear/status/1493217279340728322
2/14/2022,ferdznear,@iampinglacson #PingLacson2022 #uubusinangmagnanakaw,"['pinglacson2022', 'uubusinangmagnanakaw']",https://twitter.com/Ferdznear/status/1493139188329623553
2/14/2022,pinglacson2022,"Lacson is the continuity President we need. Ping will not only continue the policies and programs of President Duterte, he will even improve on them: ..... #PingLacson2022 #LacsonSottoTayo  https://t.co/nw89E5Jy1N","['pinglacson2022', 'lacsonsottotayo']",https://twitter.com/PingLacson2022/status/1493127871665086467
2/14/2022,iamjustin032,"If they can't even show up to a presidential debate for you to hear what really their plans are for you, what makes you think they will face you the moment you need answers? Mahirap ka lang, ordinary citizen ka lang, tax payer ka lang. Don't you get the message? #PingLacson2022",['pinglacson2022'],https://twitter.com/iamjustin032/status/1493121028280963074
2/14/2022,aesyeo_aeojeu,Let's push for #PingLacson2022 and for BRAVE 🙌🏻🙌🏻🙌🏻,['pinglacson2022'],https://twitter.com/Aesyeo_Aeojeu/status/1493110241894215680
2/14/2022,aesyeo_aeojeu,"I know where this sentiment is coming from May formal statement na and obvious ang bias  But as @txtrapolate said, if Bernie Sanders walked in sa Fox News, why couldn't we?  May viewers pa rin ang SMNI and panelists na credible para maboost ang #PingLacson2022 campaign",['pinglacson2022'],https://twitter.com/Aesyeo_Aeojeu/status/1493088633855045632
2/13/2022,aesyeo_aeojeu,"So dahil #PingLacson2022 ako, I thought I should watch his so-called biopic, Ping Lacson: Super Cop ('00)  But what I seen is a mess. Puro astigan at bayuhan pero wala namang substance sa personalidad ni Sen Ping  22 years na, so I think he deserves a new and better biopic",['pinglacson2022'],https://twitter.com/Aesyeo_Aeojeu/status/1492885833611120643
2/13/2022,oco65_ayamayi,@ricci_richy Maayo unta ug mahayagan imong utok sa holy spirit #ayawsamagnanakaw #PingLacson2022,"['ayawsamagnanakaw', 'pinglacson2022']",https://twitter.com/oco65_ayamayi/status/1492683821044490240
2/13/2022,baeyaanraka,Statistically Speaking naa naman juy clear winner this coming election. Pero ang akong boto para sa imu. Labyu Ping!  #PingLacson2022,['pinglacson2022'],https://twitter.com/BAEyaanRAKA/status/1492660349597667332
2/13/2022,ayamriceeeeel,"@iampinglacson Dapat po natin iconsider sa pagboto ang dalawang aspeto na pangangailangan at kagustohan, mas kailangan po ng ating bansa ang taong tapat, marunong magpakumbaba at higit sa lahat hindi takot mawalan ng kaalyado o kaibigan kahit na madumihan",['pinglacson2022'],https://twitter.com/ayamriceeeeel/status/1492546996661407748
2/12/2022,im_ur_hiraya,#PingLacson2022  #LacsonSottoTayo  #PingGaling,"['pinglacson2022', 'lacsonsottotayo', 'pinggaling']",https://twitter.com/im_ur_hiraya/status/1492522068235423746
2/12/2022,im_ur_hiraya,#MyPresident @iampinglacson  #PingLacson2022  #LacsonSottoTayo  #PingGaling,"['mypresident', 'pinglacson2022', 'lacsonsottotayo', 'pinggaling']",https://twitter.com/im_ur_hiraya/status/1492521757689131017
2/12/2022,iamvhicidano,"Only a man of character, integrity, discipline, compassion &amp; competence we call ""public servant"" can truly bring about genuine reform in this country.  Unfortunately, only matured &amp; intelligent voters who we barely have, would elect that ""public servant.""  #PingLacson2022",['pinglacson2022'],https://twitter.com/iamVhicIdano/status/1492464598691110915
2/12/2022,plerplerko,Titibay tiwala ko sa gobyerno pag si Sir @iampinglacson  na ang Presidente. @PingLacson2022 @PingIsMyLeader #PingLacson2022 #PingSays #PingLacsonRestoringTrust,"['pinglacson2022', 'pingsays', 'pinglacsonrestoringtrust']",https://twitter.com/plerplerko/status/1492359885887242241
2/12/2022,plerplerko,"My President @iampinglacson saan po pwede mag volunteer for your campaign? Na sa inyo po puso ko, since college days ko po dahil sa issue ng Pork Barrel. Sobrang taas po ng respeto ko po sa inyo and tiwala. We deserve you po #DisiplinangLacson #PingLacson2022","['disiplinanglacson', 'pinglacson2022']",https://twitter.com/plerplerko/status/1492358691328503810
2/12/2022,plerplerko,My president @iampinglacson . #PingLacson2022  &lt;3,['pinglacson2022'],https://twitter.com/plerplerko/status/1492357401034764288
2/12/2022,abogagongpinoy,"@AbanteNews @iampinglacson @sotto_tito Tandaan … CINCO (Lacson) NUEVE (Sotto) sa Mayo 9, 2022… ang tambalang dapat at karapat dapat na mamuno sa ating bansa… kailangan pa bang imemorize nyan?#pinggaling",['pinggaling'],https://twitter.com/abogagongPinoy/status/1492176920649232386
2/12/2022,abogagongpinoy,@ChrislenBulosan @ABSCBNNews Ang tambalang may malinaw na plataporma para sa ikauunlad at ikaka ayos ng buhay ng bawat Filipino… “Aayusin ang gobyerno… Aayusin ang buhay ng mga Pilipino…” #Pinggaling,['pinggaling'],https://twitter.com/abogagongPinoy/status/1492172994357399552
2/11/2022,pingsbattalion,Lacson highlighted the role of our youth in steering the course of our nation’s history as he addressed the people of Tagum City earlier today. #PingGaling #LacsonSottoTayo  https://t.co/zBVhOdmNo2,"['pinggaling', 'lacsonsottotayo']",https://twitter.com/PingsBattalion/status/1492090445429493760
2/11/2022,abogagongpinoy,@MyTeddyBear0912 @taskforcetiwala Cinco (5) Nueve (9) sa Mayo 9…. Kailangan pa bang Imemorize yan?#pinggaling,['pinggaling'],https://twitter.com/abogagongPinoy/status/1492023085935239168
2/10/2022,abogagongpinoy,@MsHanaBee Kay Lacson you know you’re in good hands… may malinaw na platform based on available data at knows saan kukunan ng support unlike the other candidates na pulos motherhood statements lang ang nangopya lang sa kanya ng platform…#pinggaling,['pinggaling'],https://twitter.com/abogagongPinoy/status/1491669437086269444
2/10/2022,heysaccharin_,Lacson-Sotto #LacsonSottoTayo #LacsonMostQualified #Kakamping #DisiplinangLacson #PingGaling,"['lacsonsottotayo', 'lacsonmostqualified', 'kakamping', 'disiplinanglacson', 'pinggaling']",https://twitter.com/heysaccharin_/status/1491640895380148224
2/8/2022,im_ur_hiraya,Solid! #MyPresident @iampinglacson  #PingLacson2022  #PingGaling #LacsonSottoTayo  https://t.co/GfucAYOTWg,"['mypresident', 'pinglacson2022', 'pinggaling', 'lacsonsottotayo']",https://twitter.com/im_ur_hiraya/status/1491025832911192065
2/8/2022,im_ur_hiraya,@cnnphilippines @GergCahiles It ashamed that I couldn't be able to attend pero full support po ako #MyPresident Sen. @iampinglacson   #PingLacson2022  #PingGaling  #LacsonSottoTayo,"['mypresident', 'pinglacson2022', 'pinggaling', 'lacsonsottotayo']",https://twitter.com/im_ur_hiraya/status/1490870544945729537
2/14/2022,pamsantiago07,"Napakagandang artwork ni Sir @ThorReyes49 , gandang larawan ni Senator Ping Lacson!!   Napakagaling niyo po sir Hector!!!!!!!  Gawin ko po munang profile picture, sobrang ganda po! 🤍   @iampinglacson   #PingLacsonIsMyPresident #LacsonMostQualified  #LacsonSottoTayo  https://t.co/OB04pmbhUA","['pinglacsonismypresident', 'lacsonmostqualified', 'lacsonsottotayo']",https://twitter.com/pamsantiago07/status/1493234495327117314
