"","tweet"
"1","s dana white  bob arum fixed bradley fight to stall  vs   "
"2","   and other   superstar s waiting for you "
"3","<U+FE0F> update <U+FE0F>  ~ duration ~  start february 25 2022 713 am  end march 27 2022 713 am  starting price $10000 in eth   after the duration this will be sold to the highest bidder <U+FE0F><U+0001F440><U+0001F525> goodluck         "
"4","sino ba sa tingin mo idol ang dapat mamayagpag sa may 9 halalan 2022 sino ba sa kanila ang karapatdapat na manalo         "
"5","like share and follow  for more legal education          "
"6","who do you want to be president in the coming election 2022         "
"7","s dana white  bob arum fixed bradley fight to stall  vs   "
"8","this is why im against build back better leni robredo  the great reset s puppet candidate will bring this to our doorstep too wake up filipinos            "
"9","<U+30D1><U+30C3><U+30AD><U+30E3><U+30AA><U+30E9><U+30B9><U+30C8><U+30DE><U+30C3><U+30C1><U+304C>wowow<U+3067><U+898B><U+3089><U+308C><U+308B><U+306E><U+306F>220<U+307E><U+3067><U+3060><U+3088>    "
"10","thats right<U+0001F60E> mayweather gt pacquiao   "
"11","whats in your pacquiao collection  legacy amp gods warrior tees  are available at "
"12"," boxing icon presidential candidate manny  says he will welcome an international probe into president rodrigo dutertes war on drugs if elected and promised to fight narcotics the right way with due process not street shootings  "
"13","happy presidents day from cardinal hayes high school   "
"14","this weeks  contains proof that my quiver is full as i spend the day with the family  enjoy your holiday      "
"15","this  pray for our country pray for our leaders and pray for our chaplain corps that we may continue to deliver likekind ministries as this chaplain did with washington at valley forge   |  |  "
"16",""
"17","welcome to  on the  we bring you  why miss out join us  <U+0001F4AA><U+0001F3FE><U+0001F1EC><U+0001F1ED><U+0001F64C><U+0001F3FE>    "
"18","notso christian karen       "
"19","i will use my voice my means and my life fighting that the future of our grandchildren is an intact with freedom    "
"20","  im brave enough to stand on what i believed is right          "
"21","we accept cryptocurrency  donate today <U+0001F449> "
"22"," i love christian leader <U+0001F60D> i will go for "
"23","sa daming lumabas na survey ngayon para sa election nainterview ka na ba ni minsan     "
"24","  "
"25","   "
"26","     "
"27","panahon na para mag kaisa ang sambayanang pilipino edsa 3 kontra sa kahirapan hindi edsa 3 kontra sa nakaupo sa malacanang or mauupo sa malacanang        "
"28","hindi kelangan hilahin pababa kung sinoman ang nakaupo instead supportahan ito or gumawa ka ng sarili mong paraan para di makapagpabigat sa bayad hindi paraan para kalabanin ang isang tao        "
"29","then leading dapat si kakampink leni impossible naman na ung 56m marcos lahat yan and sure ako na lahat ng 22m possibleng kakampink dahil sa masalimuot na dinanas nila sa panahon ng mga marcos      "
"30","ph demographics last 2020 ages 18 to 44 = 52m  did not experience at all or too young to remember the marcos regime   ages 45 to 74 = 22m  firsthand experience of marcos regime       "
"31","if only manny can speak fluently his thoughts still thank you sir for your genuine heart from boxing to govt service you always carry the flag of the country "
"32","wala pa ba yung mga nice lahat sila nakamask memes for this photo hahahaha char lang manny<U+0001F923>      "
"33","  ang mga botante ni     malinaw na makakapagdecision kung sino ang iboboto bukas ang mga mata namin hindi kami nagpabudol sa magnanakawsinungalingwalang diplomalaki sa nakaw"
"34","to my filipino community koanny pacman ahahaha  "
"35","yung pinupuri mo ang lgbtq+ community pero samesex union hindi mo pa maibigay sa amin <U+0001F644><U+0001F644><U+0001F644><U+0001F644>  kaya hindi ikaw iboboto ko homophobic ka kasi ever since  "
"36"," "
"37"," "
"38","yes  fired up and throwing punches for  as the best candidate we can count on to lead the country prayer niya yan sa diyos para sa ating bayan     "
"39","manny please dont expect to win hahhaha      "
"40","imagine todo debate ka sa facebook at twitter pero yung kandidato mo wala sa debate        "
"41","when  gets rolling it will be interesting  their quality is top notch and only big names on their           wonder who will be next  and not just they are building like no other  project "
"42","vp  sen   and sen  said a lot of good points during this "
"43"," abolish prisons establish gulags <U+0001F60D>"
"44","jusko   magwithdraw kanna at inendorse mo na si "
"45"," its not the case that people failed to see the evil in their partners abusive partners basically hid that part of them and abused the system so they could keep their victims in their grasp  "
"46"," ok lang naman maging religious but remember that theres a separation of the state and the church puro ka faithbased"
"47"," love the sinner hate the sin <U+2764><U+261D><U+0001F3FD><U+0001F64F><U+0001F3FD><U+271D>"
"48","hala ayan nananamn si  <U+0001F644><U+0001F644><U+0001F644>  "
"49","part 1  todays  speaks of this time in the  history as we choose a leader in may  will you confidently entrust your life and future including your children to     or    "
"50","buy amp read today feb 27 sunday  newspaper my column about senator    this is part of the 2022  presidential candidates series of     "
"51","maraming salamat marikina city ipaglalaban kayo ni     "
"52","isang makabuluhang araw ng lunes para kay senator koko pimentel senator manny pacquiao at sa mga campaign leaders ng team manny pacquiao for president       "
"53","nakakainis lang talaga yung ibang kakampinks na edukado kuno pero ayaw mag asal edukado please lang guys respect each others choices     "
"54","the legend continues as manny pacquiao son won his first amateur fight   watch full fight here "
"55","thanks keiffer on and off the boxing ring our founder manny pacquiao  strives to bring honor to the philippines  but we cant do what we do without you  make a difference by giving today at "
"56","yung mga nag kakandidato dapat hindi rally ang inaatupag kundi issue ngayon sa ekonomiya dat ngayon palang galaw na hindi gagalaw lang kapag naka upo na  tangina kawawa mga mahihirap ngayon      "
"57","   mas magiging makabuluhan kung aatras na kayo at susuporta kay  "
"58","manny pacquiao congratulates jimuel after winning 1st amateur fight in us<U+0001F447><U+0001F929>      read "
