"","tweet"
"1","qc for bbm"
"2","look at our future president"
"3","ver proud of apo kse di pa sya nakaupo napapasunod na nya ang mga presidentiables imagine this is what we call follow the leader"
"4","we love you mr president"
"5","di bale nandyan pa naman yung ibang kandidato for president it is their loss not chance na sana nilang ipakita kung karapat dapat silang iboto as president baka lang hindi nila kayang harap in ang totoong karapat dapat na"
"6","ang mga kakampon kakampwets hindi makaintindi ng kaibahan ng debate sa interview sa forum bugok talaga cancel n natin lahat ng pinksyellows block all negative pinks here"
"7","first time nya kse nagkaroon ng ganyang crowd si sobrang daming caravan na na wayyyyyyy larger dyan sa pinagmamalaki nya"
"8","hindi po talaga marunong rumespeto ang mga bayaran well carry naman ni sir so sorry nalang sila"
"9","some clips from batas militar watch the full documentary at"
"10","congratulations sir we will make sure to even soar higher and claim victory this may we will continue praying for you and mayor sara mabuhay po the filipino deserves you"
"11","hindi na ba talaga pang babastos yung sisigawan mo yung isang tao ng magnanakaw basic human rights daw yun public speaking pero gmrc is waving"
"12","ang cute nilang tatlo"
"13","kaylangan pa ba mgeleksyon"
"14","hahaha bat kau triggered bat kau galit kung naisama si james baka gusto nyo din sumama hahaha"
"15","always be the first so were so happy about that mabuhay"
"16","after the late fem prrd is the only president who deeply care and loved the filipinos and the nation awesome well not forget you well always remember you forever god bless you always prrd"
"17","aerial shot at the background ganon dapat ang attendance para maging winner"
"18","more or less 7k attendees lang yung pink taliban parade of losers knina sa qc according sa pnp hahahahaha plus bagsak na naman sa sunod sunod na survey kaya bwahahahaha"
"19","kitang kita kung sino ang gusto ng tao pulse asia"
"20","ha ha ha mga penks hindi napigilan napa sigaw at tumatalon ng bbm haiiiii buhay nga naman oo god bless you all guys stay safe always mabuhay"
"21","this is how we can portray lenis latest survey number dropping 4 more vs her rivals shes making out as if her poll number isnt consistent w her dumb insistence that she can dislodge mi"
"22","lumaki ako na ang alam sa edsa revolution ay pinatay ang bayani daw na si ninoy nahubog ako ng textbook sa galit at poot sa mga marcos bbm sampu ng aking pamilya sisiguruhin kong mananalo ka"
"23","filipinos are so proud of you mr president and bbmsara will continue your build build build for the people and the nationmabuhay"
"24","join us kauniteam"
"25","magbundok man tayo bbm pa rin tayo mt kupapey mountain province feb 13 2022"
"26","good day mga kauniteam we have twitter party tomorrow 10am"
"27","tama na sobra na never again walang tulugan sa araw ng bilangan"
"28","this is why"
"29","there was a crime but its not moral turpitude agree"
"30","sir bbm yung pag wagayway at pag abot nio po sa flag ng pilipinas sobrang nakakatouch ramdam na ramdam ko pagmamahal nio sa aming mga pilipino at sa bansa natingod bless you and all supporters of we love yo"
"31","boboto na po ang kalabawwala na kasing taong boboto"
"32","pintura pa"
"33","kagaleng naman nagshine talaga siya"
"34","hahahaha"
"35","lmao hypocrisy not hyprocrisy at its finest"
"36","haha wala na ba talaga kayong marason takot ba talaga si bbm sa mga verified at legitimate journalists gusto niyang attendan yung debate na organized by a sex trafficker criminally wanted at"
"37","sayang hindi natin makikita ang kanyang ngiti at mag alamano"
"38","this is not breaking news but expected statement coming from his team theyve realized that he selfdestruct whenever he opens his mouth"
"39","useless ang debate na yan sabi ng mga blind supporter hello daig pa siya nung mga hs student na tumatakbo sa student government"
"40","even his lawyers and spokesmen doesnt have the confidence to leave him alone with things like these kasi halata namang di sya marunong magisip for himself spoiled brat boy ngiwi nyo e"
"41","this should be his opportunity to spill all his scheme and intentions on why he run for president people crave to know his aim and platforms"
"42","i find it hilarious that a lot of filipinos like him so much history shall repeat itself then i wonder who will suffer such consequences of appointing such incompetent person as the representative of the country"
"43","so what else is new his supporters will eventually realize he is unreliable that he will not be there when needed the most"
"44","lagot ka cayetano natrauma tuloy si alamano kaya ayaw nang umattend nagtago sa palda ni imelda"
