"","tweet"
"1","lets do a survey and see whos gonna win for president"
"2","para sa legit na boboto lang please do not vote if hindi ka botante or hindi din makakaboto who is your president"
"3","kulay asul at puti ang simbolo ng tunay tapat at mapayapa na pamumuno kay kami"
"4","hindi niyo na pwedeng laitin si bbm na hindi sumasali sa opposition debate kung yung mismong mga kandidato niyo nag no show sa kanilang opposition debate magiging ipokrita kayo"
"5","mga pwedeng theme songs ni never gonna give you up by rick astley im never gonna give you up by cynthia rhodes and frank stallone never give up by sia"
"6","lets make it simple if a candidate skips an interviewdebate duwag based on this premise si ka leody pinakamatapang not counted yung di paginvite sa kanya sino po ang pinakaduwag pakisagot po"
"7","diretso sa nakaw na naman scam projects ang lalim na ng pilipinas ma tatalo na tayo sa kenya africa we need a leader"
"8","since araw ng mga puso ngayon tatanongin kita ano ang kulay ng puso mo"
"9","nalungkot ako para kay pero sya pa rin sa ko"
"10","maraming salamat po mam sa pagsend nito sa amin tama po kayo hindi popularity contest ang pagpili ng iboboto pinagiisipan po ito ng maige"
"11","duwag lang ang hindi dadalo sa smni debate bukas asan na yung mga word of honor nyo"
"12","ping lacson tito sotto turn down smni debates due to this"
"13","ayaw ni platform based debate gusto nila martial law based discussion"
"14","i am not actually for at talaga ang president ko pero napakaliit ata ng chance nya pero kung pink at bbm ang labanan doon na ko sa aattend ng debate"
"15","support restoration of remove religion from the equation if you can legally get married you should legally get out of marriage plain amp simple act now"
"16","solid supporter president ping lacson"
"17","not bts related but yeah is my president"
"18","ang kinabukasan ang tama ipaglaban ang mali labanan"
"19","im tired of this redyellowpink fights nakakasawa na mga bangayan nyo no to marcos no to leni yes to ping lacson"
"20","not a kpopsj related but please respect hindi pa kami family nakaka decide kung sino ang dapat iboto sa may 8 ano po ba ang mga plataporma ng mga kandidado sa pagka pangulo thank you"
"21","what else could have been said sana marealize nating lahat mga kapwafilipino pilipinas"
"22","mahihirapan kase silang pumorma pag nasa slate sila ni pano ka mangungurakot kung yung president mo gusto iayos ang government"
"23","stop attacking people by their looks stop canceling people by their choice stop speaking ill to people by their beliefs"
"24","kung gaganapin ang eleksyon ngayon sinong kandidato sa pagkapangulo ang iboboto mo"
"25","is the way to go"
"26","lacson is the continuity president we need ping will not only continue the policies and programs of president duterte he will even improve on them"
"27","if they cant even show up to a presidential debate for you to hear what really their plans are for you what makes you think they will face you the moment you need answers mahirap ka lang ordinary citizen ka lang tax payer ka lang dont you get the message"
"28","lets push for and for brave"
"29","i know where this sentiment is coming from may formal statement na and obvious ang bias but as said if bernie sanders walked in sa fox news why couldnt we may viewers pa rin ang smni and panelists na credible para maboost ang campaign"
"30","so dahil ako i thought i should watch his socalled biopic ping lacson super cop 00 but what i seen is a mess puro astigan at bayuhan pero wala namang substance sa personalidad ni sen ping 22 years na so i think he deserves a new and better biopic"
"31","maayo unta ug mahayagan imong utok sa holy spirit"
"32","statistically speaking naa naman juy clear winner this coming election pero ang akong boto para sa imu labyu ping"
"33","dapat po natin iconsider sa pagboto ang dalawang aspeto na pangangailangan at kagustohan mas kailangan po ng ating bansa ang taong tapat marunong magpakumbaba at higit sa lahat hindi takot mawalan ng kaalyado o kaibigan kahit na madumihan"
"34","only a man of character integrity discipline compassion amp competence we call public servant can truly bring about genuine reform in this country unfortunately only matured amp intelligent voters who we barely have would elect that public servant"
"35","titibay tiwala ko sa gobyerno pag si sir na ang presidente"
"36","my president saan po pwede mag volunteer for your campaign na sa inyo po puso ko since college days ko po dahil sa issue ng pork barrel sobrang taas po ng respeto ko po sa inyo and tiwala we deserve you po"
"37","my president lt3"
"38","tandaan cinco lacson nueve sotto sa mayo 9 2022 ang tambalang dapat at karapat dapat na mamuno sa ating bansa kailangan pa bang imemorize nyan"
"39","ang tambalang may malinaw na plataporma para sa ikauunlad at ikaka ayos ng buhay ng bawat filipino aayusin ang gobyerno aayusin ang buhay ng mga pilipino"
"40","lacson highlighted the role of our youth in steering the course of our nations history as he addressed the people of tagum city earlier today"
"41","cinco 5 nueve 9 sa mayo 9 kailangan pa bang imemorize yan"
"42","kay lacson you know youre in good hands may malinaw na platform based on available data at knows saan kukunan ng support unlike the other candidates na pulos motherhood statements lang ang nangopya lang sa kanya ng platform"
"43","lacsonsotto"
"44","solid"
"45","it ashamed that i couldnt be able to attend pero full support po ako sen"
"46","napakagandang artwork ni sir gandang larawan ni senator ping lacson napakagaling niyo po sir hector gawin ko po munang profile picture sobrang ganda po"
"47","times you might even pay for it even if the candidate of your choice wins voting just because a candidate has the biggest chance of winning is the lamest reason to vote for a candidate vote wisely"
"48","maging matalino ngayong election dun tayo sa tapat at may malasakit sa bayan"
"49","mabuhay po kaupresident lacson and vice president tito para sa 2022"
"50","smart voters pls ris e updont waste for another 6 years vote ping lacson for president"
"51","siempre lahat tayo ay kay lacson at sotto lang"
"52","el presidente fellow pinoys we do not want to hear the phrase he is the best president we never had for the next six years now is our chance lets make a difference"
"53","no"
"54","sino ba sa tingin mo idol ang dapat mamayagpag sa may 9 halalan 2022 sino ba sa kanila ang karapatdapat na manalo"
"55","bagong tatlo sa senado the only lbm i stan"
"56","senator kiko is in the house san manuelenians went all the way to dagupan city just to show our support to"
"57","a man of faith and a warrior of god god bless you po and good luck sotto2022 presidential election and the entire team"
"58","for any military institution like the pma obtaining a lifetime achievement award is a rare and difficult award to achieve it all involves hardwork discipline and fealty to what the pma stands for courage integrity loyalty"
"59","we need him its now or neverhuwag nating hayaang maging the best president na we never had ang isang ping lacson tama si yorme asset siya ng bayan"
"60","nr 5 sa balota 592022"
"61","lacsonsotto nakipag bonding sa mga taga baguio"
"62","usapang tapat at walang bola ito ang hatid ng tambalang lacsonsotto kasama ang mga toda ng urdaneta"
"63","di na ta anang agion ra tag binugoy oi ari ta ni kay klaro kaayo"
"64","wag nating sayangin ang ating boto piliin natin yung talagang makakapag bigay ng maayos na tulong para sa bansa at sa mamamayang pilipino kay ping lacson tayo let us be the masters of our fate ping lacson"
"65","marites corpuz dating marcos supporter lacson na ngayon"
"66","ubusin na natin ang magnanakaw ayusin na natin ang gobyerno ng umaayos ang buhay ng mga pilipino"
"67","solusyon ni vs pagtaas ng mga presyo ng bilihin mararamdaman ng mahihirap"
"68","tumanggap ng lifetime achievement award si mula sa philippine military academy"
"69","this nation needs a true servant leader who leads by example who walks the talk and who will set a singlestandard policy colorless that is we dont need a leader who is full of hatred and colored that promotes divisiveness"
"70","pormal na inendorso ni magalong ang lacsonsotto tandem sa isang press conference na ginanap sa newtown plaza hotel"
"71","magalong said filipino voters must realize the potential consequences of their decisions should they choose to maintain the status quo and miss the opportunity of picking more upright leaders like lacson and sotto"
"72","nakatanggap si sen ping lacson ng lifetime achievenemt award mula sa pma sa baguio"
"73","receives the pma lifetime achievement award for his dedicated exemplary and unblemished service to the country"
"74","pag disiplina karamihan dahas agad ang iniisip maraming paraan ang pag de displina tulad ng pag de displina ni sen sa mga kapulisan gumamit ba dya ng dahas hindi kase sya mismo ay may displina at integridad"
"75","this was organized by the ashs pinasulong committee to help ignite awareness and critical thinking within the student body fight for a better tomorrow and aspire to make a difference through art and literature 22 article by isabella magno and julia mangmang"
"76","live now magnolia vs phoenix super lpg on watch on pba rush via"
"77","mga erehe suwail subersibo rebelde rebolusyonaryo pinatay sila 150 taon na ang nakakaraan dahil mapagpalaya ang kanilang diwa"
"78","live now alaska vs rain or shine on watch on pba rush via"
"79","di na nila naisip lalo nila tayo ipitin lalo lalakas ang paniningdigan natin at ang pag mamahal natin kay vpl"
"80","live now vs on watch on pba rush via"
"81","claiming it"
"82","maayos na gobyerno"
"83","siya ang panggiyera ko tunay na maaasahan"
"84","may iba pa ba ang pang gyera ko lacson at sotto na sila lang naman ang may mabuting hangarin para sa ating bayan"
"85","wala akong ibang susuportahan kundi ang lacsonsotto tandem lang tapat at walang bahid ng kurapsyon"
"86","salute sir ping andito lang kaming mga taga suporta mo goodluck sa laban mo"
"87","you are a good leader sen ping lacson at matagal mo ng napatunayan iyon panahon na para ikaw naman ang maglingkod para sa bayan at panatilihing mapayapa at malagoa ng ating bansa"
"88","you deserve to be our next president sen ping lacson kailangan ka ng ating bayan dahil sa totoong pagbabago na iyong hangad"
"89","i couldnt wish for more ping lacson proves himself that he is better than anyone else we are so proud of you sen ping you have came so far"
"90","article 1 un charter where ph is a signatory"
"91","townhall meeting lucena city quezon province"
