"","tweet"
"1","qc bbm"
"2","future president"
"3","proud apo di nakaupo napapasunod presidentiables imagine call follow leader"
"4","love mr president"
"5","di bale nandyan kandidato president loss chance ipakita karapat silang iboto president kayang harap totoong karapat"
"6","kakampon kakampwets makaintindi kaibahan debate interview forum bugok cancel pinksyellows block negative pinks"
"7","time ganyang crowd daming caravan wayyyyyyy larger pinagmamalaki"
"8","marunong rumespeto bayaran carry sorry"
"9","clips batas militar full documentary"
"10","congratulations soar higher claim victory continue praying mayor sara mabuhay filipino deserves"
"11","babastos sisigawan tao magnanakaw basic human rights public speaking gmrc waving"
"12","cute"
"13","kaylangan mgeleksyon"
"14","triggered galit naisama james sumama"
"15","always happy mabuhay"
"16","late fem prrd president deeply care loved filipinos nation awesome forget always remember forever god bless always prrd"
"17","aerial background ganon attendance winner"
"18","less attendees pink taliban parade losers knina qc according pnp bagsak sunod sunod survey bwahahahaha"
"19","kitang tao pulse asia"
"20","ha ha ha penks napigilan napa tumatalon bbm haiiiii buhay oo god bless stay safe always mabuhay"
"21","portray lenis latest survey dropping vs rivals shes poll consistent dumb insistence dislodge mi"
"22","lumaki edsa revolution pinatay bayani ninoy nahubog textbook galit poot bbm sampu pamilya sisiguruhin mananalo"
"23","filipinos proud mr president bbmsara continue build build build people nationmabuhay"
"24","join us kauniteam"
"25","magbundok bbm mt kupapey mountain province feb"
"26","good kauniteam party tomorrow"
"27","tama never tulugan bilangan"
"28","crime moral turpitude agree"
"29","bbm wagayway abot flag pilipinas nakakatouch ramdam ramdam pagmamahal pilipino bansa natingod bless supporters love yo"
"30","boboto kalabawwala kasing boboto"
"31","pintura"
"32","kagaleng nagshine"
"33","lmao hypocrisy hyprocrisy finest"
"34","kayong marason takot bbm verified legitimate journalists attendan debate organized sex trafficker criminally wanted"
"35","sayang makikita ngiti alamano"
"36","breaking news expected statement coming team theyve realized selfdestruct whenever opens mouth"
"37","useless debate blind supporter daig hs student tumatakbo student government"
"38","lawyers spokesmen confidence leave alone halata namang di marunong magisip spoiled brat boy ngiwi"
"39","opportunity spill scheme intentions president people crave know aim platforms"
"40","find hilarious filipinos history shall repeat wonder suffer consequences appointing incompetent person representative country"
"41","else new supporters eventually realize unreliable needed"
"42","lagot cayetano natrauma tuloy alamano umattend nagtago palda imelda"
"43","maraming fan debates tagisan talino labanan matalino lusutan binabato umattend talagang duwag bobo"
"44","trending care know duwag"
"45","awan met maaramid kitam takrot nabutingan kin cayatano"
"46","unity obviously excuse kaduwagan traumatized life"
"47","glimpse jr presidency bawal tanungin bawal magtanong bawal magpaliwanag"
"48","lalakas loob magsabi madumb leni samantalang alamano jr degree oxford di nakagraduate bobo"
"49","maybe wanted exude confidence mask trauma debate cayetano poor guy destroyed bad didnt attend debates anymore"
"50","mahalin pilipinas samasama babangon abu dhabi united arab emirates"
"51","silent majority ghost majority patay bumoboto halalan nakakatakot ingat"
"52","tamangparaan pagboto kaliwa pangalan itiman isakto butas pagshade"
"53","watching latest vlog ubos tissue iyak salamat panginoon mahal pilipinas binigay pamunuan duterte"
"54","yohoooo halatang kargado sulat hahhaha"
"55","real people power"
"56","election watchdog partisan namfrel pccrv"
"57","bothers presidential candidate intervention foreign government"
"58","yohoooooo"
"59","tuloy dismissed disqualification case filed bongbong"
"60","irrelevant hiyang hiya minority"
"61","aray kupo ratings playing maintaining months opppsss kalma smartmagic"
