"","tweet"
"1","laway nasasangla keeps promises manila entire nation promise"
"2","thank yorme deserving nd place"
"3","nagkakagulo aaway away online nagbibigay food boxes maynila leader"
"4","boost old gambling iskoba nakaka aliw comments section naitanong mareng jessica bukod subi iskopal"
"5","angelica panganiban nasaktan tawagin hugot queen"
"6","turon bow haayan binato turon arte"
"7","happened"
"8","yorme"
"9","future president philippines young fresh hip proclamation rallly heart wisdom proven big quickly effectively"
"10","manalo president magtulongtulong huh goal dba bansa umayos"
"11","maiba"
"12","arroceros urban forest park months work masaya naisalba arroceros park yorme read"
"13","grind eat sleep repeat btw good"
"14","sagot di natatanong sagot chief navy"
"15","cold grinding alright"
"16","presidential debate crowd sound effect galing fairness far halos magkakalevel sagot"
"17","im willing shell condemns cppnpandf change mind"
"18","lackluster lineup puppet fake till guy wolf sheeps clothing questionable lack knowledge"
"19","professors mentioned class mos silang sumasahod bumili generator isko idonate nice isko gods"
"20","camp leni mfa tanong yanpara mapagaralanalam dba gano lutang mamang"
"21","aayusin gobyerno matagal nakaupo nagawa maayos gobyerno"
"22","pretty clear pronpa candidates tunay plano go soft npa terrorist prrd past panelist clarita carlos pm feb"
"23","bongbong iboboto base track record"
"24","legit boboto botante makakaboto president"
"25","camp optimistic survey numbers improve"
"26","happy yahoo crypto friends love lots"
"27","president"
"28","di matatapos mapabagsak easily admins endorsement peoples votes supported surveys mawala equation bbm"
"29","wake fellow countrymen rightly"
"30","iiral righteous kakampinks lilinis nagcacampaign magcancel tao tigilin pagmamalinis makakakuha added supporters drama kesyo kesyo"
"31","pinas surprises country majority voters bobotantes sikat magaling magenglish kapangalan diktador dati thank tube university bbm mananalo kaw"
"32","god"
"33","reception tao withdrawang magwithdraw dahilan pagtakbo"
"34","mainit tinanggap team catarman northern samar"
"35","allen northern samar"
"36","welcome lavazares samar"
"37","ho pinagmodelan bulsa nakinabangilang tao nakinabang nunsimple leader krisis di salita gagawa"
"38","legit transparent angat buhay"
"39","dinumog motorcade"
"40","kilala understimated"
"41","totoong caravan team"
"42","tunay caravanwalang bayad kulay suot"
"43","cah assistance fire victims bagoin fact policy maynila yanexample"
"44","thank miss vivian velez team supporting di mahihiya sinuportahab"
"45","cavite fire victims time crisis"
"46","thank pasay rock pasay legit supporter bayad tunay"
"47","future pagawaing bayanhindi memapure dekalidad"
"48","pasay taas noo"
"49","team pasay sulong"
"50","leader marunong makihalubilo antas tao"
"51","love quezon belongs president"
"52","judgements inevitably acting limited knowledge best seek understand simply jay woodman"
"53","tinik debate luto"
"54","isko kumakalat strategy humihina elbiem"
"55","ballot"
"56","politician understands concept basic needs"
"57","reminder pinks toxic loyalists hate enough noise"
"58","transcript pass courses fall overall earned eleven credit units withdrawing program says major undeclared meaning declared chosen actual major"
"59","watching mins cringe"
"60","fact check ma degree jr natapos degree bumagsak makakapagapply ma undergraduate degree"
"61","tondominium tondominium rise foreground slaughterhouse area vitas tondo isko nagawa dds isko alliance"
"62","clamor real"
"63","magkaalaman mapapagtanto karapatdapat"
"64","check theyve mean flagship projects basketball court brgy hall tinignan issues tinignan resulta pruweba"
"65","process consulted attended meetings mayor isko asked tough questions ramel ob vico sotto pasig"
"66","great start visayas"
"67","psst payslip laki kinakaltas tax boboto tax evader ganon mars"
"68","nagpapakalat uurong isko komunista"
"69","edad gagawing issue gaano katanda nman napatunayan daig sinasabi bata hilaw grow peeps"
"70","provides housing project dignity people"
"71","pwedeng mangyari election filipino naniniwala propaganda"
"72","projects amidst pandemic imagine constraints pandemic"
"73","wise mind consider merits candidates otherwise pathetic fanatic"
"74","salamat kayong modelo totoong botante panatiko"
"75","lumipat padagdag padagdag silent majority isko moreno domagoso"
"76","tamang vibing haechan noh"
"77","magtatagumpay imposible awa diyos imposible posible ordinaryong pilipino"
"78","thank"
"79","asul bughaw kulay kapayapaan"
"80","pagsanjan laguna pangulo maraming nagawa maraming ngawa"
"81","presidente"
"82","pilipinas baguhin ikot politika bansa hilumin inang bayan iboto balota presidente bise presidente"
"83","isko bayan"
"84","matthew mirakyulus isko pilay napapatayo"
"85","nasanay pagiging loyal partido puri lagi tama nakikita mali naniniwala mali matanggap mali pinipiling partido loyalty tao"
"86","presidente"
"87","america meddling philippine politics support leni liberal joe biden liberal hmmmm"
"88","isko win"
"89","reconsider gov"
"90","highlighting capability dance"
"91","ipanalo"
"92","mahigpit pangangailangan tolongges desperado mokong panay tira kina vp leni aquino makakuha boto di nitong kups move itigil awayan trapo ogag"
"93","sinungaling honesty"
