"","tweet"
"1","dana white bob arum fixed bradley fight stall vs"
"2","superstar waiting"
"3","goodluck"
"4","idol mamayagpag halalan karapatdapat manalo"
"5","follow legal education"
"6","president coming election"
"7","dana white bob arum fixed bradley fight stall vs"
"8","im build better leni robredo great reset puppet candidate doorstep wake filipinos"
"9","mayweather gt pacquiao"
"10","whats pacquiao collection legacy gods warrior tees available"
"11","boxing icon presidential candidate manny says welcome international president rodrigo dutertes war drugs elected promised fight narcotics due process street shootings"
"12","happy presidents cardinal hayes high school"
"13","weeks contains proof quiver full spend family enjoy holiday"
"14","pray country pray leaders pray chaplain corps continue deliver likekind ministries chaplain washington valley forge"
"15","welcome miss join us"
"16","notso christian karen"
"17","voice means life fighting future grandchildren intact freedom"
"18","im brave enough stand believed"
"19","accept cryptocurrency donate"
"20","love christian leader go"
"21","daming lumabas survey election nainterview"
"22","kaisa sambayanang pilipino edsa kontra kahirapan edsa kontra nakaupo malacanang mauupo malacanang"
"23","kelangan hilahin sinoman nakaupo instead supportahan di makapagpabigat bayad kalabanin tao"
"24","leading kakampink leni impossible possibleng kakampink masalimuot dinanas"
"25","ph demographics ages experience young remember regime ages firsthand experience regime"
"26","manny speak fluently thoughts thank genuine heart boxing govt service always carry flag country"
"27","nice nakamask memes photo char manny"
"28","botante malinaw makakapagdecision iboboto bukas mata nagpabudol magnanakawsinungalingwalang diplomalaki nakaw"
"29","filipino community koanny pacman ahahaha"
"30","pinupuri lgbtq community samesex union maibigay iboboto homophobic"
"31","fired throwing punches best candidate count lead country prayer diyos bayan"
"32","manny expect win hahhaha"
"33","imagine todo debate facebook kandidato debate"
"34","gets rolling interesting quality top notch big names wonder next building project"
"35","vp sen sen good points"
"36","abolish prisons establish gulags"
"37","jusko magwithdraw kanna inendorse"
"38","case people failed evil partners abusive partners basically hid abused system victims grasp"
"39","religious remember separation state church faithbased"
"40","love sinner hate sin"
"41","hala nananamn"
"42","todays speaks time history choose leader confidently entrust life future including children"
"43","buy read feb sunday newspaper column senator presidential candidates series"
"44","maraming salamat marikina ipaglalaban"
"45","makabuluhang lunes senator koko pimentel senator manny pacquiao campaign leaders team manny pacquiao president"
"46","nakakainis kakampinks edukado kuno asal edukado respect choices"
"47","legend continues manny pacquiao son won amateur fight full fight"
"48","thanks keiffer boxing ring founder manny pacquiao strives honor philippines giving"
"49","kakandidato rally inaatupag issue ekonomiya dat galaw gagalaw upo tangina kawawa mahihirap"
"50","makabuluhan aatras susuporta"
"51","manny pacquiao congratulates jimuel winning st amateur fight us read"
"52","crees que logre llevar nuevamente el apellido lo estelares del boxeo"
"53","traininga real champion beautiful wife"
