"","tweet"
"1","qc bbm"
"2","futur presid"
"3","proud apo di nakaupo napapasunod presidenti imagin call follow leader"
"4","love mr presid"
"5","di bale nandyan kandidato presid loss chanc ipakita karapat silang iboto presid kayang harap totoong karapat"
"6","kakampon kakampwet makaintindi kaibahan debat interview forum bugok cancel pinksyellow block negat pink"
"7","time ganyang crowd dame caravan wayyyyyyy larger pinagmamalaki"
"8","marunong rumespeto bayaran carri sorri"
"9","clip bata militar full documentari"
"10","congratul soar higher claim victori continu pray mayor sara mabuhay filipino deserv"
"11","babasto sisigawan tao magnanakaw basic human right public speak gmrc wave"
"12","cute"
"13","kaylangan mgeleksyon"
"14","trigger galit naisama jame sumama"
"15","alway happi mabuhay"
"16","late fem prrd presid deepli care love filipino nation awesom forget alway rememb forev god bless alway prrd"
"17","aerial background ganon attend winner"
"18","less attende pink taliban parad loser knina qc accord pnp bagsak sunod sunod survey bwahahahaha"
"19","kitang tao puls asia"
"20","ha ha ha penk napigilan napa tumatalon bbm haiiiii buhay oo god bless stay safe alway mabuhay"
"21","portray leni latest survey drop vs rival shes poll consist dumb insist dislodg mi"
"22","lumaki edsa revolut pinatay bayani ninoy nahubog textbook galit poot bbm sampu pamilya sisiguruhin mananalo"
"23","filipino proud mr presid bbmsara continu build build build peopl nationmabuhay"
"24","join us kauniteam"
"25","magbundok bbm mt kupapey mountain provinc feb"
"26","good kauniteam parti tomorrow"
"27","tama never tulugan bilangan"
"28","crime moral turpitud agre"
"29","bbm wagayway abot flag pilipina nakakatouch ramdam ramdam pagmamah pilipino bansa natingod bless support love yo"
"30","boboto kalabawwala kase boboto"
"31","pintura"
"32","kagaleng nagshin"
"33","lmao hypocrisi hyprocrisi finest"
"34","kayong marason takot bbm verifi legitim journalist attendan debat organ sex traffick crimin want"
"35","sayang makikita ngiti alamano"
"36","break news expect statement come team theyv realiz selfdestruct whenev open mouth"
"37","useless debat blind support daig hs student tumatakbo student govern"
"38","lawyer spokesmen confid leav alon halata namang di marunong magisip spoil brat boy ngiwi"
"39","opportun spill scheme intent presid peopl crave know aim platform"
"40","find hilari filipino histori shall repeat wonder suffer consequ appoint incompet person repres countri"
"41","els new support eventu realiz unreli need"
"42","lagot cayetano natrauma tuloy alamano umattend nagtago palda imelda"
"43","maram fan debat tagisan talino labanan matalino lusutan binabato umattend talagang duwag bobo"
"44","trend care know duwag"
"45","awan met maaramid kitam takrot nabutingan kin cayatano"
"46","uniti obvious excus kaduwagan traumat life"
"47","glimps jr presid bawal tanungin bawal magtanong bawal magpaliwanag"
"48","lalaka loob magsabi madumb leni samantalang alamano jr degre oxford di nakagradu bobo"
"49","mayb want exud confid mask trauma debat cayetano poor guy destroy bad didnt attend debat anymor"
"50","mahalin pilipina samasama babangon abu dhabi unit arab emir"
"51","silent major ghost major patay bumoboto halalan nakakatakot ingat"
"52","tamangparaan pagboto kaliwa pangalan itiman isakto buta pagshad"
"53","watch latest vlog ubo tissu iyak salamat panginoon mahal pilipina binigay pamunuan dutert"
"54","yohoooo halatang kargado sulat hahhaha"
"55","real peopl power"
"56","elect watchdog partisan namfrel pccrv"
"57","bother presidenti candid intervent foreign govern"
"58","yohoooooo"
"59","tuloy dismiss disqualif case file bongbong"
"60","irrelev hiyang hiya minor"
"61","aray kupo rate play maintain month opppsss kalma smartmag"
"62","protect famili cost"
"63","togeth stand devid fall unit countri"
"64","fam"
"65","panaginip kalokaaaaa"
"66","halo magpatayan pro regist elect"
"67","paranaqu"
"68","famili legit legit"
"69","sad paninira bbm"
"70","agre qssociat quiboloy must hold govern offic otherwis demis belov countri"
"71","dulo tlgang dinuktungan sbhing mahaba maram taolol"
"72","louder lmao"
"73","villar good team unqualifi bbm ambit control countri hegemoni thru dirti tactic plutocrat capit ibasura"
"74","debat loyalist di puntahan madala magis plataporma talino tunay tapang haharap haharap debat uniti magnanakaw"
"75","convers colleg friend nagattend proclamt ralli bbm mandaluyong madum makinarya"
"76","hahahahahahahahaha el sad die hahahahahahahahaha endors guarante ideolog belief"
"77","ngaw ngaw kampon kadiliman hahahahaah pahiya pahiya jushkopo pilit pinaptrend"
"78","sadyang tanga makaintindi palibhasa napahiya butata pilit pilit totoo"
"79","ngek"
"80","comelec di tax evasiion di cancel mg coc sinung bbm kuda go straight point"
"81","parent laugh call tanga pumirma gaganap ralli bbm sunday mandaluyong free tshirt"
"82","everyth untru us deceiv"
"83","spoil brat sinasantosanto abusado blood ireport"
"84","leni lutang blengblong genius"
"85","impyerno"
"86","never uniti unifi politician alli uniti peopl mean unifi differ sector communiti gave speech came heart mouth heart"
"87","precis ideolog behind candidaci candidaci mayor twogeth twogeth basi uniti uniti countri tumultu support subscrib"
"88","cauyan isabela"
"89","bbm unifi presid bbm sign allianc big polit parti phil walk talk help support strength uniti"
"90","talagang artista supportado"
"91","ngpa ppansin ppa awa epek kulelat nmn"
"92","owemjii mad mad bbm duwag oh"
"93","cya mama nanay yuck nanay lenlen"
"94","self proclaim pusang basher pinklawan pusa activ polit view"
"95","sarap pakinggan awit"
"96","push bright nanay delus fanat pinklawan former known dilawan"
"97","pinapakita tao amorantoqc feel pumanta qc circl delusion tlaga anak lenlen"
"98","never yellow aka pink"
"99","pinklawan cheap hampaslupa support bbmsara mayayaman disent kagalanggalang mahahalagang tao lipunan kataastaasang nilalang delus grandeur defens mechan brain"
"100","ambait abia cbn ha nakakabit pangalan bbm son dictat"
"101","bbm support enlighten support proper debat leni lugaw argument"
"102","paninira sasabi totoo case trial centuri held us none case proven us final verdict suprem court state famili convict ill chang"
"103","gagalingan"
"104","leni support intellig honest terrorist attack peopl attack govern bbm support chang"
"105","qc sara"
"106","besid bbm ahahaah english defin intellig bad mouth"
"107","pakibasa dun kaninang ngcomment marcosesgaleng"
"108","take note support haka haka bwahwhwhwhwhwhw"
"109","tama tp debat tom backout mode bbm aattend"
"110","tps analysi re nonappear aspir debat"
"111","presid pbbm"
"112","excit debat tomorrow balita di question maganda makaka alaman know reason dame nawala qc bbmsara"
"113","isabela readi"
"114","panoorin sonni trillan meet bbm support"
"115","ingat kayong"
"116","packag deal"
"117","proud filipino"
"118","qc bbmsara"
"119","bbmsara uniteam"
"120","bbmsara uniteam umulan umaraw solid bbm"
"121","laglagan"
"122","true camp aspir ask question advanc grant hesh declin call lame excus"
"123","better wear yellow fit nice"
"124","go fight win toni"
"125","kayang tanggapin mapait katotohanan talo bbm sara sakalam"
"126","ganda loss absenc"
"127","happi bbmsara"
"128","road uniti uniteam"
"129","bbm mission complet bbm support network groupown manag master child baiter quiboloy unit presidenti candid attend presidenti debat"
"130","least effort bus load kakampink laguna pinanggalingan"
"131","hoyi bbm sara consist support caravan interview survey"
"132","tama tlaga tpthis debateung previous talk interviewspleas"
"133","kakampink lipat kyo bbm sinabihan kyo love basto di pari ina makipag selfi pinalaya"
"134","alway top survey bbmsara"
"135","baliw talagapink taliban pr team balot ulo nanay nilagyan bigot twin sister osama bin laden"
"136","id choos hate support bbm regret support wrong leader"
"137","go fake news go broke"
"138","nagtataka baliktad mundo todo advis bbm support act straight dedma watch proclam ralli take note ha"
"139","totoo madam magagawa iboto kurakot tska kasabwat mandaya boto omj kakahiya nice toni"
"140","omg inggit kakampink oh manang mana ina hahahahhaa"
"141","sabhin nyu lipad kinang kandidato nyubnigyan sha opportun walley happi tomorrow new begin"
"142","iyayi best candid win"
"143","unit support mabuhay success buyag"
