"","tweet"
"1","dana white bob arum fix bradley fight stall vs"
"2","superstar wait"
"3","goodluck"
"4","idol mamayagpag halalan karapatdapat manalo"
"5","follow legal educ"
"6","presid come elect"
"7","dana white bob arum fix bradley fight stall vs"
"8","im build better leni robredo great reset puppet candid doorstep wake filipino"
"9","mayweath gt pacquiao"
"10","what pacquiao collect legaci god warrior tee avail"
"11","box icon presidenti candid manni say welcom intern presid rodrigo dutert war drug elect promi fight narcot due process street shoot"
"12","happi presid cardin hay high school"
"13","week contain proof quiver full spend famili enjoy holiday"
"14","pray countri pray leader pray chaplain corp continu deliv likekind ministri chaplain washington valley forg"
"15","welcom miss join us"
"16","notso christian karen"
"17","voic mean life fight futur grandchildren intact freedom"
"18","im brave enough stand believ"
"19","accept cryptocurr donat"
"20","love christian leader go"
"21","dame lumaba survey elect nainterview"
"22","kaisa sambayanang pilipino edsa kontra kahirapan edsa kontra nakaupo malacanang mauupo malacanang"
"23","kelangan hilahin sinoman nakaupo instead supportahan di makapagpabigat bayad kalabanin tao"
"24","lead kakampink leni imposs possibleng kakampink masalimuot dinana"
"25","ph demograph age experi young rememb regim age firsthand experi regim"
"26","manni speak fluentli thought thank genuin heart box govt servic alway carri flag countri"
"27","nice nakamask meme photo char manni"
"28","botant malinaw makakapagdeci iboboto buka mata nagpabudol magnanakawsinungalingwalang diplomalaki nakaw"
"29","filipino communiti koanni pacman ahahaha"
"30","pinupuri lgbtq communiti samesex union maibigay iboboto homophob"
"31","fire throw punch best candid count lead countri prayer diyo bayan"
"32","manni expect win hahhaha"
"33","imagin todo debat facebook kandidato debat"
"34","get roll interest qualiti top notch big name wonder next build project"
"35","vp sen sen good point"
"36","abolish prison establish gulag"
"37","jusko magwithdraw kanna inendor"
"38","case peopl fail evil partner abus partner basic hid abus system victim grasp"
"39","religi rememb separ state church faithba"
"40","love sinner hate sin"
"41","hala nananamn"
"42","today speak time histori choo leader confid entrust life futur includ children"
"43","buy read feb sunday newspap column senat presidenti candid seri"
"44","maram salamat marikina ipaglalaban"
