,time,open,high,low,close,tick_volume,spread,real_volume
0,1590969600,1.11121,1.11257,1.1102400000000001,1.11213,3867,7,0
1,1590984000,1.11212,1.114,1.11161,1.11332,5020,7,0
2,1590998400,1.11331,1.11536,1.11158,1.11392,10484,7,0
3,1591012800,1.11396,1.11409,1.11001,1.11097,9742,7,0
4,1591027200,1.1109499999999999,1.11399,1.11031,1.11296,11726,7,0
5,1591041600,1.11295,1.1136,1.11221,1.1134,4560,7,0
6,1591056000,1.11352,1.1138,1.11238,1.11315,2850,7,0
7,1591070400,1.11318,1.11327,1.11188,1.11253,3826,7,0
8,1591084800,1.11253,1.11708,1.11148,1.11701,11275,7,0
9,1591099200,1.11698,1.11874,1.11547,1.11649,12819,7,0
10,1591113600,1.11647,1.1195599999999999,1.1163,1.11735,14013,7,0
11,1591128000,1.11737,1.11809,1.1160700000000001,1.1166,5952,7,0
12,1591142400,1.11675,1.12006,1.11652,1.11924,4120,7,0
13,1591156800,1.11927,1.12107,1.11823,1.1203,6551,7,0
14,1591171200,1.12029,1.12273,1.11907,1.12103,10900,7,0
15,1591185600,1.12101,1.12265,1.11836,1.1191200000000001,11752,7,0
16,1591200000,1.11908,1.12509,1.11862,1.12361,16034,7,0
17,1591214400,1.12361,1.12573,1.12316,1.1232199999999999,5934,7,0
18,1591228800,1.12321,1.12375,1.12132,1.1221700000000001,3007,7,0
19,1591243200,1.12223,1.12243,1.12109,1.12153,3918,7,0
20,1591257600,1.12151,1.12209,1.11946,1.12067,7520,7,0
21,1591272000,1.12064,1.12718,1.11948,1.12372,13918,7,0
22,1591286400,1.12367,1.13615,1.1226099999999999,1.13286,19088,7,0
23,1591300800,1.13286,1.13614,1.13257,1.13365,8404,7,0
24,1591315200,1.13362,1.13442,1.13308,1.13321,3421,7,0
25,1591329600,1.13324,1.13548,1.13257,1.13466,4699,7,0
26,1591344000,1.13465,1.13834,1.13259,1.1332,10784,7,0
27,1591358400,1.13324,1.13433,1.12821,1.12948,13792,7,0
28,1591372800,1.12949,1.13236,1.12848,1.12901,13892,7,0
29,1591387200,1.12902,1.1299299999999999,1.12781,1.12909,6319,7,0
30,1591574400,1.12898,1.13193,1.1279,1.12974,4166,7,0
31,1591588800,1.12976,1.12992,1.12846,1.12884,4834,7,0
32,1591603200,1.12886,1.13155,1.12809,1.13,8487,7,0
33,1591617600,1.12999,1.13063,1.1268,1.12935,9338,7,0
34,1591632000,1.12936,1.13181,1.12849,1.12909,12503,7,0
35,1591646400,1.12908,1.13082,1.12889,1.12933,5079,7,0
36,1591660800,1.12878,1.13145,1.12878,1.13037,3115,7,0
37,1591675200,1.13036,1.1304,1.12836,1.12854,5202,7,0
38,1591689600,1.12853,1.12958,1.12407,1.12616,10923,7,0
39,1591704000,1.12616,1.13021,1.12551,1.12994,10817,7,0
40,1591718400,1.12989,1.13635,1.12964,1.13424,13828,7,0
41,1591732800,1.13424,1.13477,1.13308,1.13385,4917,7,0
42,1591747200,1.13353,1.1344400000000001,1.13313,1.13391,2814,7,0
43,1591761600,1.13395,1.13457,1.13375,1.13425,3523,7,0
44,1591776000,1.13425,1.13753,1.13415,1.1368800000000001,10082,7,0
45,1591790400,1.1368800000000001,1.1389,1.1348,1.13798,10108,7,0
46,1591804800,1.13798,1.13852,1.13418,1.13509,12262,7,0
47,1591819200,1.13513,1.14218,1.13214,1.13718,14463,7,0
48,1591833600,1.13686,1.13885,1.13636,1.13862,3864,7,0
49,1591848000,1.13862,1.13947,1.13435,1.13507,7314,7,0
50,1591862400,1.13508,1.13904,1.13248,1.13892,13728,7,0
51,1591876800,1.1389,1.14008,1.1335899999999999,1.13563,13057,7,0
52,1591891200,1.13564,1.14032,1.13504,1.13614,18298,7,0
53,1591905600,1.13613,1.13613,1.12883,1.12972,11159,7,0
54,1591920000,1.12878,1.13023,1.12801,1.12826,4302,7,0
55,1591934400,1.12823,1.12974,1.12763,1.1296599999999999,6344,7,0
56,1591948800,1.1296599999999999,1.13401,1.12929,1.13244,9474,7,0
57,1591963200,1.13248,1.1327,1.1292200000000001,1.1305,9466,7,0
58,1591977600,1.1305,1.13227,1.12331,1.12357,14407,7,0
59,1591992000,1.12359,1.12616,1.12122,1.12561,8947,7,0
