,time,open,high,low,close,tick_volume,spread,real_volume
0,1167609600,1.3189,1.3189,1.3189,1.3189,1,0,0
1,1167696000,1.3205,1.3216999999999999,1.3201,1.3211,2527,0,0
2,1167699600,1.3213,1.3233,1.321,1.3231,3189,0,0
3,1167703200,1.3233,1.3233,1.3221,1.3226,3350,0,0
4,1167706800,1.3225,1.3237,1.3222,1.3232,2667,0,0
5,1167710400,1.3235000000000001,1.324,1.3229,1.3235000000000001,2093,0,0
6,1167714000,1.3235999999999999,1.324,1.323,1.3233,1847,0,0
7,1167717600,1.324,1.324,1.3228,1.3237,2232,0,0
8,1167721200,1.3237999999999999,1.324,1.3227,1.3228,2940,0,0
9,1167724800,1.323,1.327,1.3226,1.3262,1946,0,0
10,1167728400,1.3261,1.3281,1.325,1.3275000000000001,1898,0,0
11,1167732000,1.3274,1.3277999999999999,1.3267,1.3276,1627,0,0
12,1167735600,1.3277,1.3288,1.3275000000000001,1.3279,2077,0,0
13,1167739200,1.328,1.328,1.3265,1.327,1705,0,0
14,1167742800,1.3269,1.3276,1.3264,1.3275000000000001,1144,0,0
15,1167746400,1.3276,1.3296000000000001,1.3267,1.3289,2200,0,0
16,1167750000,1.329,1.329,1.3277999999999999,1.3281,1256,0,0
17,1167753600,1.3282,1.3282,1.3266,1.3275000000000001,1416,0,0
18,1167757200,1.3276,1.329,1.3275000000000001,1.328,1377,0,0
19,1167760800,1.3282,1.3287,1.3277999999999999,1.3287,1176,0,0
20,1167764400,1.3286,1.3287,1.3274,1.3276,1033,0,0
21,1167768000,1.3277,1.3277,1.3267,1.3273,1380,0,0
22,1167771600,1.3274,1.3277,1.3268,1.3277,1524,0,0
23,1167775200,1.3275000000000001,1.3279,1.327,1.3272,1173,0,0
24,1167778800,1.3271,1.3277999999999999,1.3267,1.3277,1647,0,0
25,1167782400,1.3277999999999999,1.3279,1.3268,1.3273,1060,0,0
26,1167786000,1.3271,1.3284,1.3269,1.3279,1359,0,0
27,1167789600,1.328,1.3284,1.3274,1.3283,1650,0,0
28,1167793200,1.3281,1.3286,1.3277999999999999,1.3285,1065,0,0
29,1167796800,1.3281,1.3289,1.328,1.3285,1557,0,0
30,1167800400,1.3287,1.3289,1.3274,1.3282,1569,0,0
31,1167804000,1.3286,1.3286,1.3267,1.3275000000000001,2289,0,0
32,1167807600,1.3274,1.3283,1.3273,1.3277999999999999,1324,0,0
33,1167811200,1.3279,1.3281,1.3265,1.3277,1666,0,0
34,1167814800,1.3277999999999999,1.3282,1.3268,1.3274,1606,0,0
35,1167818400,1.3273,1.3273,1.3251,1.3255,1770,0,0
36,1167822000,1.3254000000000001,1.3255,1.3216999999999999,1.3226,2010,0,0
37,1167825600,1.3225,1.3239,1.3221,1.3221,1836,0,0
38,1167829200,1.3222,1.3237999999999999,1.322,1.3231,1457,0,0
39,1167832800,1.3232,1.3256999999999999,1.3224,1.3231,2659,0,0
40,1167836400,1.3232,1.3237,1.3218,1.3223,2050,0,0
41,1167840000,1.3224,1.3224,1.3176,1.3192,3500,0,0
42,1167843600,1.3193,1.3195000000000001,1.3159,1.3167,2199,0,0
43,1167847200,1.3168,1.3172,1.3151,1.3161,1748,0,0
44,1167850800,1.316,1.3162,1.3151,1.3152,1313,0,0
45,1167854400,1.3151,1.3173,1.3146,1.3163,2629,0,0
46,1167858000,1.3161,1.3168,1.3154,1.3158,1296,0,0
47,1167861600,1.3159,1.317,1.3155999999999999,1.3169,1585,0,0
48,1167865200,1.3168,1.3172,1.3158,1.3163,1834,0,0
49,1167868800,1.3164,1.317,1.3162,1.3169,1233,0,0
50,1167872400,1.3168,1.3171,1.3155999999999999,1.3163,1614,0,0
51,1167876000,1.3164,1.3172,1.3159,1.3167,1214,0,0
52,1167879600,1.3166,1.3172,1.3163,1.3171,1532,0,0
53,1167883200,1.3172,1.3178,1.3167,1.3174000000000001,1363,0,0
54,1167886800,1.3175,1.3176999999999999,1.3166,1.3167,1553,0,0
55,1167890400,1.3166,1.3173,1.3163,1.3171,1522,0,0
56,1167894000,1.3172,1.3172,1.3155000000000001,1.3159,1229,0,0
57,1167897600,1.3158,1.3179,1.3158,1.317,1608,0,0
58,1167901200,1.3171,1.3171,1.3114,1.3121,2910,0,0
59,1167904800,1.3122,1.3128,1.3098,1.3111,2180,0,0
60,1167908400,1.3112,1.3115,1.3087,1.309,1828,0,0
61,1167912000,1.3089,1.3109,1.3089,1.3102,1298,0,0
62,1167915600,1.3101,1.3113000000000001,1.3098,1.3109,1517,0,0
63,1167919200,1.3108,1.3115,1.3094999999999999,1.3108,2340,0,0
64,1167922800,1.3107,1.3109,1.308,1.3087,2350,0,0
65,1167926400,1.3086,1.3115999999999999,1.3084,1.3088,3100,0,0
66,1167930000,1.3087,1.3096999999999999,1.3075,1.3093,1978,0,0
67,1167933600,1.3092,1.3098,1.3086,1.3093,1276,0,0
68,1167937200,1.3094000000000001,1.3098,1.3087,1.3091,1553,0,0
69,1167940800,1.3092,1.3092,1.3082,1.3086,1375,0,0
70,1167944400,1.3085,1.3085,1.3075,1.3081,1234,0,0
71,1167948000,1.308,1.3087,1.3075,1.3082,1148,0,0
72,1167951600,1.3083,1.3092,1.3081,1.309,1274,0,0
73,1167955200,1.3091,1.3093,1.3082,1.3088,1306,0,0
