,time,open,high,low,close,tick_volume,spread,real_volume
0,1483340400,1003.94,1003.94,998.88,999.72,5901,0,0
1,1483344000,999.73,1000.53,999.01,1000.28,2491,0,0
2,1483347600,1000.29,1009.0,999.51,1008.5,10771,0,0
3,1483351200,1009.0,1016.64,1008.51,1013.48,11781,0,0
4,1483354800,1013.49,1018.88,1010.56,1017.68,12451,0,0
5,1483358400,1017.69,1018.99,1014.61,1017.53,8601,0,0
6,1483362000,1017.33,1017.99,994.31,1009.68,39711,0,0
7,1483365600,1009.47,1017.91,1007.75,1017.03,12761,0,0
8,1483369200,1016.8,1023.99,1016.49,1020.41,11391,0,0
9,1483372800,1020.19,1025.5,1019.51,1019.6,11391,0,0
10,1483376400,1019.25,1019.34,1016.03,1016.45,3821,0,0
11,1483380000,1016.46,1017.85,1004.44,1005.97,16331,0,0
12,1483383600,1005.47,1007.94,1003.12,1003.88,8051,0,0
13,1483387200,1003.89,1007.91,985.97,1007.91,39861,0,0
14,1483390800,1007.97,1011.85,1003.43,1006.25,15121,0,0
15,1483394400,1005.97,1011.39,1005.97,1009.63,7181,0,0
16,1483398000,1009.68,1010.61,1005.79,1005.79,5751,0,0
17,1483401600,1005.8,1014.08,1005.79,1013.25,9131,0,0
18,1483405200,1013.26,1018.51,1012.85,1017.85,6731,0,0
19,1483408800,1017.86,1023.94,994.25,1007.22,48741,0,0
20,1483412400,1007.46,1017.92,1007.42,1017.25,11211,0,0
21,1483416000,1017.45,1017.99,1017.11,1017.3,1611,0,0
22,1483419600,1017.6,1017.6,1014.04,1014.04,3561,0,0
23,1483423200,1014.03,1014.48,1005.12,1008.38,13071,0,0
24,1483426800,1008.15,1008.33,1003.61,1007.09,8381,0,0
25,1483430400,1007.08,1012.69,1006.21,1010.47,9571,0,0
26,1483434000,1010.61,1014.27,1009.6,1011.2,8751,0,0
27,1483437600,1011.44,1016.15,1009.18,1015.08,10301,0,0
28,1483441200,1014.27,1017.91,1014.14,1017.18,4631,0,0
29,1483444800,1017.05,1019.34,1016.61,1017.52,4991,0,0
30,1483448400,1017.43,1017.7,1013.98,1013.98,3991,0,0
31,1483452000,1013.99,1013.99,1009.64,1012.21,6921,0,0
32,1483455600,1012.2,1016.91,1009.58,1013.81,13051,0,0
33,1483459200,1013.79,1014.93,1012.81,1014.65,3381,0,0
34,1483462800,1014.32,1014.66,1013.43,1013.7,1841,0,0
35,1483466400,1013.69,1014.99,1013.69,1014.17,2121,0,0
36,1483470000,1014.18,1015.25,1010.22,1010.55,6431,0,0
37,1483473600,1010.54,1014.12,1010.2,1011.51,6871,0,0
38,1483477200,1011.5,1015.46,1011.47,1015.02,4461,0,0
39,1483480800,1015.01,1018.47,1013.25,1016.92,8531,0,0
40,1483484400,1016.93,1032.71,1016.57,1029.62,19591,0,0
41,1483488000,1029.63,1032.4,1026.18,1026.19,9001,0,0
42,1483491600,1026.03,1029.41,1023.13,1027.99,10601,0,0
43,1483495200,1028.0,1035.09,1027.97,1031.26,10981,0,0
44,1483498800,1030.83,1036.0,1030.83,1035.75,5421,0,0
45,1483502400,1035.77,1039.35,1033.73,1035.99,11021,0,0
46,1483506000,1036.0,1047.48,1035.91,1041.66,17481,0,0
47,1483509600,1041.69,1043.97,1032.49,1040.75,22021,0,0
48,1483513200,1040.76,1050.88,1040.76,1048.89,12111,0,0
49,1483516800,1048.9,1051.0,1046.65,1049.92,7681,0,0
50,1483520400,1049.71,1058.96,1046.8,1058.36,15671,0,0
51,1483524000,1058.37,1071.88,1056.58,1071.87,17101,0,0
52,1483527600,1071.88,1082.88,1064.72,1074.97,33231,0,0
53,1483531200,1074.98,1084.26,1072.64,1082.49,15731,0,0
54,1483534800,1082.26,1092.76,1078.46,1089.75,21111,0,0
55,1483538400,1089.76,1092.31,1053.86,1079.62,66761,0,0
56,1483542000,1079.63,1083.55,1077.74,1083.04,8211,0,0
57,1483545600,1082.65,1092.4,1081.0,1089.81,15641,0,0
58,1483549200,1089.8,1123.1,1089.16,1122.38,35301,0,0
59,1483552800,1122.68,1133.89,1118.93,1127.24,25361,0,0
60,1483556400,1127.23,1128.84,1086.12,1109.31,67521,0,0
